Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Year
Eldridge Recasner,29,ATL,SG,71,4,1207,6.8,16.0,.423,2.7,6.4,.414,4.1,9.6,.429,.506,2.3,2.7,.879,1.6,3.7,5.3,4.3,1.7,0.2,3.0,4.4,18.6,108,106,,1996-1997
Andrew Lang,30,MIL,C,52,52,1194,5.2,11.1,.464,0.0,0.0,,5.2,11.1,.464,.464,2.0,2.7,.721,4.2,8.3,12.5,1.1,1.2,2.1,1.8,6.3,12.3,106,107,,1996-1997
Jalen Rose,24,IND,SF,66,6,1188,7.8,17.1,.456,1.0,3.3,.292,6.9,13.8,.495,.484,5.3,7.1,.750,1.2,4.3,5.5,7.0,2.6,0.8,4.9,6.2,21.9,102,104,,1996-1997
Anthony Goldwire,25,2TM,PG,60,30,1188,5.8,14.7,.397,2.9,6.8,.418,3.0,7.9,.379,.494,2.7,3.5,.782,0.5,3.2,3.7,9.8,1.5,0.1,3.4,4.6,17.3,109,113,,1996-1997
Anthony Goldwire,25,CHH,PG,33,9,576,5.8,14.5,.403,3.4,7.7,.439,2.4,6.8,.361,.519,2.8,3.8,.750,0.3,3.3,3.6,8.8,1.8,0.1,3.9,5.5,17.9,107,112,,1996-1997
Anthony Goldwire,25,DEN,PG,27,21,612,5.9,14.9,.392,2.4,6.0,.394,3.5,8.9,.390,.472,2.6,3.2,.816,0.8,3.1,3.9,10.6,1.2,0.1,3.0,3.9,16.7,111,115,,1996-1997
Bimbo Coles,28,GSW,PG,51,13,1183,5.4,13.9,.389,1.3,4.5,.294,4.1,9.4,.434,.436,1.6,2.2,.755,1.7,3.5,5.2,6.6,1.5,0.3,2.6,4.2,13.7,102,115,,1996-1997
Xavier McDaniel,33,NJN,PF,62,5,1170,6.1,15.8,.389,0.2,1.1,.200,5.9,14.7,.403,.396,2.9,4.0,.730,5.5,8.6,14.1,2.9,1.6,0.8,3.1,6.4,15.4,97,109,,1996-1997
Grant Long,30,DET,PF,65,24,1166,6.0,13.4,.447,0.8,2.3,.362,5.2,11.1,.465,.478,3.1,4.1,.750,4.3,6.5,10.8,1.9,2.1,0.3,2.3,5.2,15.9,108,104,,1996-1997
Travis Knight,22,LAL,C,71,14,1156,6.4,12.5,.509,0.0,0.0,,6.4,12.5,.509,.509,2.8,4.6,.620,5.9,8.6,14.5,1.8,1.4,2.6,2.2,7.7,15.6,112,102,,1996-1997
