Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Year
Tony Battie,27,BOS,C,23,6,501,5.8,12.0,.479,0.1,0.1,1.000,5.7,11.9,.474,.483,2.4,3.4,.697,4.0,8.1,12.1,2.2,0.8,2.1,2.5,5.7,14.0,103,104,,2003-2004
Tony Battie,27,CLE,C,50,1,977,6.2,14.4,.427,0.1,0.4,.125,6.1,14.0,.436,.429,2.3,3.0,.768,4.3,8.8,13.0,2.0,1.0,2.5,2.1,5.6,14.7,99,103,,2003-2004
T.J. Ford,20,MIL,PG,55,55,1472,5.4,14.2,.384,0.2,0.7,.238,5.3,13.4,.393,.391,2.8,3.5,.816,1.3,5.0,6.3,12.7,2.1,0.1,4.9,4.4,13.9,93,106,,2003-2004
Howard Eisley,31,2TM,PG,67,23,1457,6.0,16.3,.368,1.9,5.9,.319,4.1,10.4,.396,.426,2.7,3.2,.854,0.7,3.9,4.7,9.9,2.0,0.2,3.5,5.0,16.6,99,107,,2003-2004
Howard Eisley,31,NYK,PG,33,23,730,5.9,14.8,.396,2.1,6.2,.329,3.8,8.6,.444,.465,2.4,2.6,.889,0.5,4.3,4.8,11.5,2.2,0.2,3.7,6.2,16.2,105,105,,2003-2004
Howard Eisley,31,PHO,PG,34,0,727,6.1,17.7,.345,1.7,5.6,.308,4.4,12.2,.363,.394,3.1,3.8,.830,0.9,3.6,4.5,8.3,1.9,0.1,3.4,3.7,17.1,94,109,,2003-2004
Stanislav Medvedenko,24,LAL,PF,68,38,1442,8.5,19.4,.441,0.0,0.1,.000,8.5,19.3,.444,.441,3.2,4.2,.767,5.3,7.0,12.4,2.1,1.4,0.6,2.1,6.9,20.3,103,102,,2003-2004
Vitaly Potapenko,28,SEA,C,65,39,1419,7.5,15.4,.489,0.0,0.0,,7.5,15.4,.489,.489,2.2,3.5,.641,3.8,7.1,10.9,2.0,0.8,1.1,2.9,6.1,17.3,100,110,,2003-2004
Stacey Augmon,35,NOH,SF,69,24,1416,5.4,13.2,.412,0.0,0.3,.143,5.4,12.9,.418,.414,4.2,5.3,.791,2.0,4.6,6.6,3.2,2.1,0.6,2.9,4.3,15.1,97,104,,2003-2004
Kendall Gill,35,CHI,SG,56,35,1411,7.9,20.2,.392,0.3,1.4,.237,7.6,18.8,.404,.401,3.7,5.0,.735,2.3,4.8,7.0,3.3,2.4,0.6,3.1,3.9,19.9,90,104,,2003-2004
Rodney Rogers,32,NJN,PF,69,15,1409,7.9,19.2,.410,1.9,5.8,.329,6.0,13.4,.445,.459,2.9,3.7,.765,3.8,7.9,11.7,5.2,2.2,1.0,3.7,7.0,20.5,97,96,,2003-2004
Kevin Ollie,31,CLE,PG,82,7,1401,3.6,9.7,.370,0.2,0.3,.444,3.4,9.4,.367,.377,5.5,6.6,.835,0.9,5.5,6.4,8.8,1.9,0.3,3.1,4.5,12.9,106,106,,2003-2004
Steve Blake,23,WAS,PG,75,14,1392,5.9,15.2,.386,2.8,7.6,.371,3.1,7.7,.400,.478,2.1,2.5,.821,0.7,3.7,4.4,7.8,2.1,0.3,4.8,3.7,16.6,95,107,,2003-2004
Anthony Peeler,34,SAC,SG,75,0,1391,5.8,12.9,.448,2.5,5.2,.482,3.3,7.7,.425,.546,1.9,2.3,.836,1.2,4.5,5.7,4.5,2.1,0.4,2.9,3.8,16.0,106,106,,2003-2004
Marcus Banks,22,BOS,PG,81,2,1385,6.6,16.4,.400,1.0,3.2,.314,5.6,13.2,.421,.431,3.7,4.9,.756,1.1,3.8,4.9,6.5,3.3,0.5,4.6,6.4,17.9,91,103,,2003-2004
Jamaal Tinsley,25,IND,PG,52,43,1378,6.1,14.7,.414,3.1,8.2,.372,3.0,6.5,.466,.518,2.0,2.7,.731,1.1,4.3,5.4,12.1,3.3,0.7,4.4,5.3,17.2,106,97,,2003-2004
Bobby Simmons,23,LAC,SF,56,8,1376,5.6,14.3,.394,0.1,0.5,.167,5.6,13.8,.402,.397,5.4,6.5,.834,4.4,5.6,10.0,3.7,2.0,0.7,2.8,6.5,16.8,105,109,,2003-2004
Karl Malone,40,LAL,PF,42,42,1373,7.3,15.2,.483,0.0,0.0,.000,7.3,15.1,.484,.483,6.4,8.5,.747,2.3,11.6,13.9,6.2,1.9,0.8,3.9,4.4,21.0,107,98,,2003-2004
Chris Wilcox,21,LAC,C,65,17,1340,8.9,17.2,.521,0.0,0.0,.000,8.9,17.1,.522,.521,4.1,5.9,.700,4.9,7.1,12.0,2.0,1.1,0.8,3.2,7.2,22.0,109,109,,2003-2004
Aaron Williams,32,NJN,C,72,7,1337,6.9,13.7,.503,0.0,0.1,.333,6.9,13.6,.504,.504,4.2,6.2,.677,4.1,7.7,11.8,3.3,1.4,1.8,3.6,7.5,18.1,102,98,,2003-2004
Glenn Robinson,31,PHI,SF,42,42,1336,11.2,25.1,.448,1.4,4.1,.340,9.8,21.0,.469,.476,4.7,5.6,.832,1.9,5.8,7.7,2.3,1.7,0.4,4.3,3.9,28.5,96,103,,2003-2004
Chris Mihm,24,2TM,C,76,17,1330,7.3,14.9,.488,0.0,0.0,,7.3,14.9,.488,.488,4.3,6.5,.663,6.1,10.0,16.1,0.8,1.4,2.5,3.5,8.1,18.8,102,101,,2003-2004
Chris Mihm,24,CLE,PF,22,1,391,8.0,17.2,.465,0.0,0.0,,8.0,17.2,.465,.465,4.6,6.5,.708,6.4,12.6,18.9,1.4,1.2,3.0,3.4,7.8,20.5,102,99,,2003-2004
Chris Mihm,24,BOS,C,54,16,939,7.0,13.9,.500,0.0,0.0,,7.0,13.9,.500,.500,4.2,6.5,.644,6.0,9.0,15.0,0.6,1.5,2.2,3.6,8.2,18.1,102,101,,2003-2004
Vin Baker,32,2TM,PF,54,33,1313,8.2,17.1,.481,0.0,0.1,.333,8.2,17.0,.483,.483,4.5,6.2,.726,4.4,6.7,11.1,2.6,1.1,1.3,3.0,6.3,21.0,105,105,,2003-2004
Vin Baker,32,BOS,PF,37,33,1000,8.7,17.2,.505,0.0,0.1,.000,8.7,17.1,.506,.505,4.2,5.8,.732,3.9,6.9,10.8,2.8,1.1,1.2,2.7,5.0,21.5,109,105,,2003-2004
Vin Baker,32,NYK,PF,17,0,313,6.9,17.0,.404,0.2,0.3,.500,6.7,16.6,.402,.409,5.5,7.7,.711,6.2,5.8,12.0,2.1,1.2,1.5,4.3,10.6,19.4,95,104,,2003-2004
Robert Horry,33,SAS,PF,81,1,1290,5.9,14.5,.405,1.7,4.5,.380,4.2,10.0,.417,.464,2.9,4.5,.645,4.5,6.8,11.3,4.2,2.0,2.0,2.3,6.9,16.4,107,93,,2003-2004
Reggie Evans,23,SEA,PF,75,27,1280,2.8,6.9,.406,0.0,0.1,.000,2.8,6.8,.414,.406,3.5,6.2,.561,6.5,10.5,17.0,1.4,2.3,0.4,2.7,7.3,9.0,101,104,,2003-2004
Jacque Vaughn,28,ATL,PG,71,6,1271,4.4,11.5,.386,0.1,0.8,.150,4.3,10.7,.405,.392,2.2,2.8,.779,0.5,4.3,4.8,8.1,1.8,0.1,3.5,5.2,11.2,91,109,,2003-2004
Dan Gadzuric,25,MIL,C,75,0,1260,7.6,14.5,.524,0.0,0.0,.000,7.6,14.5,.526,.524,2.4,4.9,.492,5.2,9.2,14.4,1.2,2.1,4.4,1.9,7.7,17.6,108,99,,2003-2004
Malik Rose,29,SAS,PF,67,13,1256,7.4,17.3,.428,0.0,0.1,.000,7.4,17.2,.431,.428,7.8,9.6,.813,4.7,9.0,13.7,3.0,1.5,1.0,4.8,7.0,22.7,101,94,,2003-2004
Nick Van Exel,32,GSW,PG,39,29,1255,8.0,20.4,.390,2.0,6.4,.307,6.0,14.0,.429,.438,3.0,4.2,.707,0.7,3.7,4.4,8.8,0.9,0.1,3.3,2.4,20.9,99,109,,2003-2004
Charlie Ward,33,2TM,PG,71,10,1252,6.9,16.7,.410,3.6,8.8,.408,3.3,7.9,.413,.518,0.9,1.2,.741,0.5,5.7,6.2,9.2,2.7,0.5,4.1,4.6,18.2,102,100,,2003-2004
Charlie Ward,33,NYK,PG,35,10,827,7.5,16.9,.442,3.8,8.9,.428,3.6,7.9,.459,.556,1.0,1.4,.762,0.6,5.6,6.2,11.0,3.0,0.5,4.5,4.8,19.8,108,102,,2003-2004
Charlie Ward,33,SAS,PG,36,0,425,5.7,16.5,.346,3.2,8.6,.368,2.5,7.9,.323,.442,0.5,0.8,.667,0.3,5.8,6.1,5.7,2.2,0.4,3.4,4.2,15.1,89,96,,2003-2004
Mark Madsen,28,MIN,C,72,12,1246,4.4,8.8,.495,0.0,0.3,.000,4.4,8.6,.510,.495,2.5,5.1,.483,5.8,6.0,11.8,1.2,1.4,0.8,2.0,7.6,11.2,106,101,,2003-2004
Ira Newble,29,CLE,SF,64,25,1245,4.6,11.7,.391,0.1,0.8,.105,4.5,10.9,.412,.395,1.5,2.0,.783,2.8,3.8,6.6,3.1,1.1,0.8,2.3,4.6,10.8,91,108,,2003-2004
Kareem Rush,23,LAL,SG,72,15,1244,7.9,18.1,.440,2.0,5.8,.348,5.9,12.3,.483,.495,1.3,2.2,.596,0.8,3.2,4.1,2.5,1.4,0.8,2.0,4.6,19.2,98,105,,2003-2004
Michael Curry,35,TOR,SF,70,15,1229,3.4,8.8,.388,0.1,0.7,.200,3.3,8.1,.403,.395,2.2,2.6,.845,1.0,2.9,3.9,2.4,1.0,0.2,2.2,6.9,9.2,88,105,,2003-2004
Milt Palacio,25,TOR,PG,59,13,1211,4.8,13.6,.349,0.2,1.2,.154,4.6,12.4,.368,.356,2.1,3.1,.662,0.7,4.0,4.7,8.4,1.9,0.5,4.0,4.1,11.7,81,103,,2003-2004
Andrew DeClercq,30,ORL,C,71,53,1211,4.1,8.5,.477,0.0,0.0,,4.1,8.5,.477,.477,1.9,2.4,.815,5.7,8.1,13.8,1.9,2.1,1.4,2.4,9.5,10.0,108,107,,2003-2004
Chris Crawford,28,ATL,PF,56,25,1207,9.2,20.6,.448,1.9,4.9,.389,7.3,15.7,.466,.495,4.5,5.2,.866,2.5,5.1,7.7,2.0,1.6,0.9,2.4,5.7,24.9,109,108,,2003-2004
Calvin Booth,27,SEA,C,71,35,1206,6.0,12.8,.466,0.0,0.1,.000,6.0,12.7,.469,.466,3.3,4.2,.798,3.8,8.6,12.4,1.2,0.8,4.5,2.0,6.6,15.3,107,105,,2003-2004
Rod Strickland,37,2TM,PG,61,10,1197,6.7,15.7,.425,0.4,1.6,.278,6.2,14.1,.442,.439,3.2,4.4,.735,1.5,5.4,6.9,10.9,1.6,0.5,3.8,3.4,17.0,101,109,,2003-2004
Rod Strickland,37,ORL,PG,46,9,915,7.0,15.5,.454,0.6,1.9,.303,6.5,13.6,.475,.472,3.3,4.4,.750,1.4,5.4,6.8,10.7,1.6,0.4,3.9,3.4,18.0,105,111,,2003-2004
Rod Strickland,37,TOR,PG,15,1,282,5.5,16.5,.333,0.0,0.6,.000,5.5,15.9,.346,.333,2.9,4.3,.682,2.0,5.3,7.3,11.6,1.6,0.8,3.5,3.3,13.9,89,102,,2003-2004
Eddie House,25,LAC,SG,60,10,1188,7.2,19.9,.359,2.3,6.0,.375,4.9,13.9,.351,.415,1.6,2.0,.800,1.2,4.9,6.1,6.6,2.9,0.2,2.8,4.1,18.2,96,108,,2003-2004
Bobby Jackson,30,SAC,SG,50,0,1185,11.5,25.8,.444,3.5,9.6,.370,7.9,16.3,.488,.513,3.6,4.8,.752,2.4,5.2,7.6,4.6,2.1,0.3,2.8,4.6,30.1,107,106,6MOY-4,2003-2004
Sasha Pavlović,20,UTA,SF,79,14,1144,7.2,18.2,.396,0.9,3.4,.271,6.3,14.8,.425,.422,3.2,4.1,.774,2.1,5.6,7.7,2.9,2.0,0.8,3.2,9.1,18.5,94,104,,2003-2004
Keyon Dooling,23,LAC,PG,58,24,1137,6.4,16.3,.389,0.4,2.1,.174,6.0,14.2,.422,.401,3.6,4.4,.830,0.8,2.9,3.7,6.0,2.1,0.3,3.0,5.0,16.7,97,111,,2003-2004
Matt Harpring,27,UTA,SF,31,31,1134,9.4,20.0,.471,0.4,1.6,.242,9.0,18.4,.491,.480,5.3,7.7,.688,4.4,7.6,12.1,3.1,1.1,0.1,3.2,5.0,24.5,107,105,,2003-2004
Luke Ridnour,22,SEA,PG,69,6,1114,6.9,16.8,.414,1.3,3.8,.338,5.7,12.9,.437,.453,3.1,3.8,.823,1.7,3.5,5.2,7.8,2.5,0.3,3.8,5.0,18.3,101,109,,2003-2004
Horace Grant,38,LAL,PF,55,10,1106,4.3,10.5,.411,0.0,0.0,.000,4.3,10.5,.413,.411,1.8,2.5,.722,3.7,7.2,11.0,3.3,1.1,1.0,1.4,3.3,10.5,104,103,,2003-2004
Jon Barry,34,DEN,SG,57,9,1101,5.6,13.9,.404,2.4,6.4,.370,3.2,7.4,.434,.490,2.8,3.3,.845,1.2,4.6,5.7,6.9,2.7,0.4,2.5,3.1,16.4,111,104,,2003-2004
Austin Croshere,28,IND,PF,77,0,1051,6.2,16.0,.388,2.9,7.5,.389,3.3,8.5,.387,.479,4.9,5.4,.894,3.1,9.6,12.7,2.7,1.3,0.7,2.9,5.3,20.2,108,98,,2003-2004
Corie Blount,35,2TM,PF,62,3,1050,5.8,12.8,.455,0.0,0.2,.000,5.8,12.6,.460,.455,0.8,1.4,.556,4.9,8.9,13.9,2.8,2.5,1.2,2.2,6.8,12.4,98,99,,2003-2004
Corie Blount,35,CHI,PF,46,3,756,6.7,14.2,.471,0.0,0.2,.000,6.7,14.0,.478,.471,0.9,1.7,.542,5.2,9.0,14.2,3.1,2.6,1.3,2.4,5.9,14.3,99,100,,2003-2004
Corie Blount,35,TOR,C,16,0,294,3.4,8.8,.383,0.0,0.0,,3.4,8.8,.383,.383,0.4,0.6,.667,4.1,8.8,13.0,1.9,2.1,0.9,1.5,9.2,7.1,91,98,,2003-2004
Marquis Daniels,23,DAL,SG,56,15,1039,10.1,20.4,.494,0.5,1.8,.306,9.5,18.6,.512,.507,3.0,3.9,.769,3.3,4.0,7.2,5.7,2.6,0.6,2.2,2.5,23.6,115,108,ROY-6,2003-2004
Wesley Person,32,3TM,SG,58,0,1037,6.6,16.5,.401,2.9,7.2,.399,3.7,9.2,.403,.489,1.6,2.0,.795,0.8,5.3,6.1,3.5,1.0,0.5,2.0,2.0,17.7,103,108,,2003-2004
Wesley Person,32,MEM,SG,16,0,284,6.1,19.8,.308,2.0,8.0,.256,4.1,11.8,.344,.360,1.1,1.5,.750,0.4,3.0,3.3,4.3,0.9,0.4,3.0,2.0,15.4,79,109,,2003-2004
Wesley Person,32,POR,SG,33,0,621,7.2,15.1,.476,3.2,6.8,.474,3.9,8.2,.478,.583,1.7,2.2,.760,1.1,5.6,6.6,3.4,1.0,0.5,1.6,2.0,19.3,120,108,,2003-2004
Wesley Person,32,ATL,SG,9,0,132,5.2,15.6,.333,3.2,7.6,.421,2.0,8.0,.250,.436,2.4,2.4,1.000,0.8,9.2,10.0,2.0,1.2,0.4,1.6,2.0,16.0,100,106,,2003-2004
Brevin Knight,28,3TM,PG,56,13,1037,5.3,12.4,.427,0.1,0.4,.250,5.2,12.0,.433,.431,2.5,3.3,.754,0.7,4.9,5.6,10.3,4.2,0.1,3.6,5.4,13.1,99,102,,2003-2004
Brevin Knight,28,PHO,PG,3,0,19,2.7,8.2,.333,0.0,0.0,,2.7,8.2,.333,.333,0.0,0.0,,0.0,8.2,8.2,10.9,8.2,2.7,8.2,2.7,5.5,59,89,,2003-2004
Brevin Knight,28,WAS,PG,32,12,598,5.0,12.0,.420,0.1,0.4,.200,5.0,11.6,.429,.424,1.7,2.3,.704,1.0,4.4,5.3,8.9,4.5,0.0,3.8,4.4,11.8,93,102,,2003-2004
Brevin Knight,28,MIL,PG,21,1,420,5.7,13.1,.438,0.1,0.4,.333,5.6,12.7,.441,.443,3.7,4.7,.789,0.4,5.6,6.0,12.2,3.6,0.0,3.1,7.0,15.4,109,102,,2003-2004
Doug Overton,34,2TM,PG,61,11,1033,5.1,12.5,.404,0.2,1.2,.130,4.9,11.3,.432,.410,1.2,1.6,.742,0.8,3.6,4.4,7.1,1.3,0.1,3.0,4.5,11.4,92,112,,2003-2004
Doug Overton,34,NJN,PG,6,0,22,7.3,19.5,.375,0.0,0.0,,7.3,19.5,.375,.375,4.9,4.9,1.000,0.0,2.4,2.4,9.8,2.4,0.0,4.9,9.8,19.5,90,101,,2003-2004
Doug Overton,34,LAC,PG,55,11,1011,5.0,12.4,.405,0.2,1.2,.130,4.9,11.2,.435,.411,1.1,1.5,.724,0.8,3.6,4.4,7.0,1.3,0.1,2.9,4.4,11.3,92,112,,2003-2004
Michael Doleac,26,2TM,C,72,0,1029,7.2,16.5,.435,0.0,0.0,,7.2,16.5,.435,.435,2.3,2.7,.865,4.5,9.1,13.6,2.3,1.2,1.8,2.5,7.3,16.7,99,102,,2003-2004
Michael Doleac,26,NYK,C,46,0,685,7.8,17.6,.444,0.0,0.0,,7.8,17.6,.444,.444,2.4,2.8,.861,4.7,10.1,14.8,2.3,1.3,2.3,2.9,6.6,18.1,98,100,,2003-2004
Michael Doleac,26,DEN,C,26,0,344,6.0,14.5,.412,0.0,0.0,,6.0,14.5,.412,.412,2.1,2.4,.875,4.2,7.2,11.4,2.1,0.9,0.9,1.6,8.7,14.1,101,104,,2003-2004
Chris Andersen,25,DEN,PF,71,0,1029,4.5,10.1,.443,0.0,0.0,.000,4.5,10.1,.446,.443,3.1,5.3,.589,4.4,10.4,14.9,1.7,1.7,5.7,2.4,5.9,12.1,100,96,,2003-2004
Gary Trent,29,MIN,C,68,2,1025,8.2,17.3,.473,0.0,0.3,.000,8.2,16.9,.481,.473,3.6,4.8,.758,4.4,7.0,11.4,2.6,0.6,0.9,2.8,6.8,19.9,103,102,,2003-2004
Eddie Robinson,27,CHI,SF,51,4,1024,8.0,16.6,.482,0.1,0.3,.200,7.9,16.3,.486,.483,1.4,2.2,.651,1.4,3.9,5.3,2.9,1.7,0.5,2.3,2.9,17.4,97,106,,2003-2004
Jerome James,28,SEA,C,65,24,990,7.0,14.0,.498,0.0,0.0,,7.0,14.0,.498,.498,3.6,5.4,.660,4.2,8.2,12.4,1.7,1.1,3.2,4.4,9.7,17.5,96,106,,2003-2004
Rodney White,23,DEN,SF,72,0,985,11.2,24.4,.459,1.7,4.5,.379,9.5,19.9,.478,.495,4.1,5.4,.750,2.3,6.3,8.6,3.1,1.7,1.0,4.1,5.5,28.2,100,104,,2003-2004
Christian Laettner,34,WAS,PF,48,18,984,6.3,13.5,.465,0.3,1.1,.286,6.0,12.4,.481,.477,2.1,2.6,.800,2.6,9.6,12.3,4.7,2.0,1.5,2.2,5.4,15.0,107,102,,2003-2004
Darius Songaila,25,SAC,PF,73,7,976,7.0,14.5,.487,0.0,0.0,,7.0,14.5,.487,.487,3.8,4.7,.807,4.8,7.1,11.9,2.5,2.2,0.6,2.3,6.7,17.9,112,104,,2003-2004
Kedrick Brown,22,2TM,SF,55,26,969,6.3,13.7,.461,2.0,5.3,.384,4.3,8.4,.510,.535,0.9,1.5,.630,2.2,5.7,7.9,3.5,1.6,0.4,1.6,4.3,15.6,112,106,,2003-2004
Kedrick Brown,22,BOS,SF,21,10,408,5.7,12.5,.455,1.5,4.0,.375,4.2,8.5,.493,.515,1.0,1.6,.615,2.3,6.3,8.6,3.2,2.1,0.3,1.5,4.8,13.9,109,104,,2003-2004
Kedrick Brown,22,CLE,SF,34,16,561,6.8,14.6,.465,2.4,6.3,.388,4.3,8.3,.523,.548,0.8,1.3,.643,2.2,5.2,7.3,3.7,1.2,0.5,1.6,4.0,16.9,114,107,,2003-2004
Ervin Johnson,36,MIN,C,66,47,965,3.1,5.8,.534,0.0,0.1,.000,3.1,5.7,.539,.534,1.0,1.6,.607,3.4,9.6,13.0,1.3,1.5,2.4,1.7,8.7,7.1,107,97,,2003-2004
Predrag Drobnjak,28,LAC,C,61,14,949,8.3,21.1,.393,0.6,2.0,.306,7.7,19.1,.402,.408,4.1,4.8,.849,3.0,7.9,10.9,2.2,1.2,1.3,2.7,4.7,21.2,97,108,,2003-2004
Bryon Russell,33,LAL,SF,72,1,945,5.4,13.4,.402,2.4,6.2,.384,3.0,7.3,.417,.490,2.8,3.6,.769,1.8,6.3,8.0,3.9,1.8,0.7,2.0,6.1,15.9,108,102,,2003-2004
Robert Traylor,26,NOH,C,71,0,942,8.3,16.4,.505,0.1,0.3,.400,8.2,16.1,.507,.509,4.0,7.3,.547,6.1,8.9,15.0,2.5,2.2,2.1,3.5,9.2,20.7,103,99,,2003-2004
David West,23,NOH,PF,71,1,930,6.3,13.2,.474,0.0,0.1,.000,6.3,13.1,.478,.474,3.3,4.6,.713,6.8,10.4,17.2,3.5,1.6,1.6,2.8,6.8,15.8,110,100,,2003-2004
Steve Smith,34,NOH,SG,71,4,929,6.9,17.0,.406,2.5,6.2,.402,4.4,10.8,.409,.480,4.5,4.8,.928,1.6,3.1,4.7,3.2,0.9,0.3,2.4,5.3,20.8,110,108,,2003-2004
Brian Scalabrine,25,NJN,PF,69,2,928,5.0,12.6,.394,0.6,2.4,.244,4.4,10.2,.429,.417,3.4,4.0,.829,2.4,7.6,10.0,3.8,1.2,0.8,2.4,6.5,13.9,98,99,,2003-2004
Antonio McDyess,29,2TM,PF,42,20,927,7.2,15.2,.470,0.0,0.0,,7.2,15.2,.470,.470,2.2,3.9,.551,4.0,10.6,14.6,2.0,2.1,1.4,3.2,6.6,16.5,94,101,,2003-2004
Antonio McDyess,29,NYK,PF,18,6,421,8.3,18.1,.458,0.0,0.0,,8.3,18.1,.458,.458,2.8,4.8,.579,3.9,11.2,15.2,2.5,1.5,1.4,3.4,5.9,19.4,94,100,,2003-2004
Antonio McDyess,29,PHO,PF,24,14,506,6.2,12.9,.484,0.0,0.0,,6.2,12.9,.484,.484,1.6,3.2,.516,4.0,10.1,14.1,1.6,2.6,1.3,3.1,7.3,14.1,94,101,,2003-2004
Michael Olowokandi,28,MIN,C,43,25,925,7.1,16.6,.425,0.0,0.0,,7.1,16.6,.425,.425,2.1,3.6,.590,4.5,9.7,14.3,1.4,0.9,4.0,3.1,8.0,16.2,90,96,,2003-2004
Kenny Anderson,33,IND,PG,44,31,905,6.8,15.5,.441,0.1,0.2,.250,6.8,15.3,.444,.443,2.1,2.9,.729,1.2,3.8,4.9,7.6,1.6,0.3,3.0,4.4,15.9,98,101,,2003-2004
Ronald Dupree,23,CHI,SF,47,8,893,6.5,16.4,.394,0.2,0.5,.444,6.2,15.9,.392,.401,3.8,6.1,.629,3.2,6.5,9.7,3.2,1.9,1.0,3.0,7.8,17.0,91,103,,2003-2004
Elden Campbell,35,DET,C,65,27,892,8.5,19.2,.439,0.0,0.0,,8.5,19.2,.439,.439,5.2,7.6,.685,3.2,9.6,12.8,2.8,1.3,3.1,3.9,8.4,22.1,96,93,,2003-2004
Kyle Korver,22,PHI,SF,74,0,882,7.1,20.2,.352,5.0,12.8,.391,2.1,7.4,.283,.476,1.2,1.5,.792,1.9,5.0,6.9,2.5,1.5,0.5,2.5,6.3,20.4,97,104,,2003-2004
Francisco Elson,27,DEN,C,62,14,875,5.5,11.7,.472,0.0,0.1,.000,5.5,11.6,.475,.472,1.8,2.6,.667,3.8,8.1,11.9,1.9,2.1,2.3,2.1,8.5,12.8,103,100,,2003-2004
Othella Harrington,30,NYK,PF,56,3,872,6.1,12.4,.495,0.0,0.0,,6.1,12.4,.495,.495,3.6,4.8,.744,3.6,7.3,10.9,1.8,0.7,0.9,4.0,8.2,15.9,97,105,,2003-2004
Clarence Weatherspoon,33,2TM,PF,52,1,868,6.5,13.2,.493,0.0,0.1,.000,6.5,13.2,.495,.493,3.3,4.5,.736,4.6,8.1,12.8,1.9,1.9,0.9,2.2,4.7,16.4,109,99,,2003-2004
Clarence Weatherspoon,33,NYK,PF,15,1,216,4.5,9.9,.450,0.0,0.0,,4.5,9.9,.450,.450,4.5,4.7,.947,3.5,8.9,12.4,3.2,2.0,0.5,2.2,4.7,13.4,114,102,,2003-2004
Clarence Weatherspoon,33,HOU,PF,37,0,652,7.2,14.3,.503,0.0,0.1,.000,7.2,14.3,.506,.503,2.9,4.4,.660,5.0,7.9,12.9,1.4,1.8,1.1,2.2,4.7,17.4,108,98,,2003-2004
Jahidi White,27,2TM,C,62,17,865,5.9,11.4,.521,0.0,0.0,,5.9,11.4,.521,.521,3.8,7.5,.500,5.8,9.8,15.6,0.4,1.5,3.1,4.0,10.5,15.6,96,102,,2003-2004
Jahidi White,27,WAS,C,1,0,4,0.0,13.0,.000,0.0,0.0,,0.0,13.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0,103,,2003-2004
Jahidi White,27,PHO,C,61,17,861,6.0,11.4,.524,0.0,0.0,,6.0,11.4,.524,.524,3.8,7.6,.500,5.8,9.9,15.7,0.4,1.5,3.0,3.9,10.6,15.7,97,102,,2003-2004
Moochie Norris,30,2TM,PG,66,0,847,5.1,13.9,.369,1.3,3.7,.345,3.8,10.2,.377,.415,3.4,4.5,.761,0.6,3.5,4.2,7.7,2.8,0.3,4.1,3.3,14.9,93,102,,2003-2004
Moochie Norris,30,HOU,PG,30,0,401,3.7,11.9,.310,1.1,3.1,.348,2.6,8.7,.297,.356,2.5,3.3,.750,0.3,3.8,4.1,6.5,2.2,0.3,4.1,2.2,10.9,81,101,,2003-2004
Moochie Norris,30,NYK,PG,36,0,446,6.4,15.6,.408,1.4,4.2,.343,4.9,11.4,.432,.454,4.3,5.7,.766,1.0,3.2,4.2,8.8,3.4,0.4,4.1,4.2,18.5,102,103,,2003-2004
Rick Fox,34,LAL,SF,38,34,846,4.5,11.4,.392,0.9,3.8,.246,3.6,7.7,.464,.433,1.4,1.8,.733,1.8,4.5,6.3,6.0,1.8,0.2,3.0,6.1,11.3,94,104,,2003-2004
Derrick Coleman,36,PHI,C,34,30,843,6.9,16.8,.413,0.5,2.3,.222,6.4,14.4,.444,.429,3.2,4.2,.754,2.9,9.5,12.4,3.0,1.5,1.7,3.7,5.1,17.5,91,100,,2003-2004
Chris Webber,30,SAC,PF,23,23,831,10.8,26.2,.413,0.1,0.3,.200,10.8,25.9,.416,.414,5.0,7.1,.711,3.0,9.5,12.5,6.5,1.9,1.2,3.7,4.7,26.8,96,102,,2003-2004
Tom Gugliotta,34,2TM,PF,55,27,819,4.6,13.4,.345,0.1,0.3,.250,4.6,13.1,.347,.347,1.3,1.8,.714,4.3,8.1,12.3,4.2,2.0,0.8,2.6,5.3,10.6,87,103,,2003-2004
Tom Gugliotta,34,PHO,PF,30,3,304,5.3,16.9,.313,0.0,0.2,.000,5.3,16.7,.316,.313,1.0,1.4,.750,2.6,7.0,9.5,3.6,2.4,0.7,3.4,5.8,11.6,72,104,,2003-2004
Tom Gugliotta,34,UTA,PF,25,24,515,4.2,11.2,.375,0.1,0.3,.333,4.1,10.9,.376,.380,1.5,2.2,.700,5.4,8.7,14.1,4.5,1.8,0.9,2.0,5.1,10.0,101,102,,2003-2004
Tony Massenburg,36,SAC,PF,59,0,789,6.8,14.4,.475,0.0,0.1,.000,6.8,14.3,.477,.475,2.8,4.1,.683,3.7,8.6,12.3,1.9,0.9,1.2,3.0,9.4,16.5,99,105,,2003-2004
Steven Hunter,22,ORL,C,59,23,789,5.5,10.4,.529,0.0,0.0,,5.5,10.4,.529,.529,1.5,4.6,.333,3.6,7.8,11.4,0.8,0.3,4.9,1.9,6.8,12.5,99,108,,2003-2004
