Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P_1,0-3_1,3-10_1,10-16_1,16-3P_1,3P_1,2P_2,3P_2,%FGA,#,%3PA,3P%,Att.,Md.,Awards,Year
Glen Rice,29,CHH,SF,79,78,3362,.477,14.2,.709,.332,.067,.138,.171,.291,.480,.475,.471,.459,.510,.470,.742,.913,.055,83,.136,.633,0,0,"MVP-5,AS,NBA2",1996-1997
Latrell Sprewell,26,GSW,SG,80,79,3353,.449,13.7,.713,.305,.127,.136,.144,.287,.488,.641,.435,.381,.313,.354,.442,.639,.033,46,.041,.235,1,0,AS,1996-1997
Juwan Howard,23,WSB,SF,82,82,3324,.486,9.9,.998,.312,.202,.372,.112,.002,.487,.593,.423,.415,.544,.000,.616,,.059,76,.000,,0,0,,1996-1997
Damon Stoudamire,23,TOR,PG,81,81,3311,.401,15.3,.647,.251,.111,.145,.141,.353,.426,.476,.385,.373,.424,.355,.222,.347,.000,0,.046,.217,1,1,,1996-1997
Gary Payton,28,SEA,PG,82,82,3213,.476,11.8,.744,.456,.129,.081,.078,.256,.533,.614,.387,.425,.409,.313,.348,.714,.005,8,.189,.347,1,0,"MVP-6,DPOY-2,AS,NBA2",1996-1997
Kendall Gill,28,NJN,SF,82,81,3199,.443,13.3,.849,.350,.070,.168,.260,.151,.462,.566,.294,.316,.463,.336,.568,.946,.036,49,.136,.300,1,0,,1996-1997
Chris Mills,27,CLE,SF,80,79,3167,.453,14.5,.754,.252,.111,.148,.244,.246,.473,.556,.444,.394,.450,.391,.705,.919,.025,22,.118,.346,2,0,,1996-1997
Jerry Stackhouse,22,PHI,SG,81,81,3166,.407,13.3,.739,.433,.073,.117,.116,.261,.446,.514,.417,.288,.368,.298,.564,.735,.090,115,.108,.459,1,0,,1996-1997
Vin Baker,25,MIL,PF,78,78,3159,.505,9.0,.957,.472,.221,.172,.093,.043,.515,.608,.460,.335,.509,.278,.592,.733,.090,109,.037,.500,3,0,"AS,NBA3",1996-1997
Grant Hill,24,DET,SF,80,80,3147,.496,11.0,.974,.356,.133,.253,.231,.026,.502,.618,.357,.417,.498,.303,.228,.900,.060,69,.061,.000,1,0,"MVP-3,AS,NBA1",1996-1997
Anthony Mason,30,CHH,PF,73,73,3143,.525,8.5,.996,.641,.131,.155,.069,.004,.526,.509,.454,.555,.754,.333,.438,.000,.018,15,.000,,0,0,"MVP-9,NBA3",1996-1997
Christian Laettner,27,ATL,PF,82,82,3140,.486,11.2,.922,.384,.150,.195,.193,.078,.497,.547,.491,.368,.532,.352,.534,.774,.025,27,.068,.333,3,0,AS,1996-1997
Tim Hardaway,30,MIA,PG,81,81,3136,.415,16.1,.574,.199,.149,.092,.134,.426,.469,.547,.393,.346,.519,.344,.132,.483,.000,0,.053,.387,5,1,"MVP-4,AS,NBA1",1996-1997
Tom Gugliotta,27,MIN,PF,81,81,3131,.442,12.4,.931,.311,.143,.168,.308,.069,.456,.506,.401,.373,.476,.258,.648,.958,.046,58,.086,.250,0,0,"MVP-17,AS",1996-1997
Doug Christie,26,TOR,SG,81,81,3127,.417,15.0,.596,.314,.085,.116,.081,.404,.440,.567,.296,.264,.351,.384,.410,.884,.064,57,.154,.322,0,0,,1996-1997
Mitch Richmond,31,SAC,SG,81,81,3125,.454,15.7,.698,.224,.063,.141,.270,.302,.466,.544,.370,.405,.455,.428,.452,.794,.011,16,.178,.518,0,0,"MVP-13,AS,NBA2",1996-1997
Glenn Robinson,24,MIL,SF,80,79,3114,.465,12.9,.875,.220,.136,.339,.179,.125,.482,.511,.398,.458,.554,.350,.512,.794,.031,40,.050,.444,1,0,,1996-1997
Michael Jordan,33,CHI,SG,82,82,3106,.486,14.4,.843,.180,.077,.304,.283,.157,.507,.524,.476,.492,.521,.374,.502,.739,.027,49,.057,.412,0,0,"MVP-2,DPOY-5,AS,NBA1",1996-1997
Scottie Pippen,31,CHI,SF,82,82,3095,.474,14.5,.690,.286,.081,.151,.171,.310,.522,.596,.459,.451,.491,.368,.593,.705,.045,60,.068,.345,2,0,"MVP-11,DPOY-4,AS,NBA2",1996-1997
Joe Smith,21,GSW,PF,80,80,3086,.454,10.7,.964,.291,.230,.242,.200,.036,.461,.548,.426,.412,.436,.261,.642,.917,.073,80,.065,.333,0,0,,1996-1997
Kenny Anderson,26,POR,PG,82,81,3081,.427,13.8,.678,.373,.087,.106,.112,.322,.458,.521,.303,.364,.457,.361,.184,.538,.000,0,.022,.125,0,0,,1996-1997
Clifford Robinson,30,POR,SF,81,79,3077,.426,14.0,.664,.213,.204,.154,.093,.336,.466,.577,.390,.398,.495,.346,.610,.934,.036,34,.066,.261,2,0,,1996-1997
Mookie Blaylock,29,ATL,PG,78,78,3056,.432,17.8,.479,.213,.040,.060,.167,.521,.505,.595,.391,.319,.482,.366,.339,.566,.003,2,.156,.436,2,0,DPOY-3,1996-1997
Mark Jackson,31,2TM,PG,82,82,3054,.426,13.0,.738,.362,.200,.106,.069,.262,.445,.508,.419,.403,.255,.371,.274,.803,.000,0,.011,.000,5,0,,1996-1997
Mark Jackson,31,DEN,PG,52,52,2001,.425,13.2,.732,.325,.210,.117,.080,.268,.435,.524,.400,.340,.306,.397,.299,.813,.000,0,.017,.000,4,0,,1996-1997
Mark Jackson,31,IND,PG,30,30,1053,.427,12.8,.749,.436,.181,.084,.048,.251,.465,.485,.463,.579,.091,.316,.228,.778,.000,0,.000,,1,0,,1996-1997
Allen Iverson,21,PHI,PG,76,74,3045,.416,14.3,.697,.418,.068,.106,.104,.303,.448,.474,.485,.319,.452,.341,.274,.568,.023,34,.068,.516,4,0,"MVP-17,ROY-1",1996-1997
Lindsey Hunter,26,DET,PG,82,76,3023,.404,17.1,.551,.199,.047,.131,.174,.449,.444,.531,.429,.358,.414,.355,.396,.892,.011,11,.267,.392,1,0,,1996-1997
Kerry Kittles,22,NJN,SG,82,57,3012,.426,15.6,.648,.258,.078,.109,.202,.352,.453,.586,.344,.331,.392,.377,.628,.829,.047,55,.091,.368,1,0,ROY-5,1996-1997
Karl Malone,33,UTA,PF,82,82,2998,.550,10.6,.992,.402,.089,.238,.262,.008,.555,.685,.443,.396,.536,.000,.777,,.043,65,.000,,1,0,"MVP-1,AS,NBA1",1996-1997
Eddie Jones,25,LAL,SG,80,80,2998,.438,14.5,.640,.375,.072,.093,.100,.360,.464,.541,.423,.267,.389,.391,.567,.822,.072,69,.154,.517,0,0,AS,1996-1997
Rod Strickland,30,WSB,PG,82,81,2997,.466,10.4,.930,.483,.133,.195,.119,.070,.488,.541,.415,.421,.466,.169,.233,.538,.002,2,.026,.000,2,0,,1996-1997
Kevin Garnett,20,MIN,SF,77,77,2995,.499,10.8,.981,.278,.212,.270,.221,.019,.503,.627,.442,.451,.469,.286,.737,1.000,.095,98,.048,.000,0,0,AS,1996-1997
David Wesley,26,BOS,PG,74,73,2991,.468,14.8,.706,.418,.027,.071,.191,.294,.513,.467,.346,.507,.640,.360,.371,.660,.001,1,.140,.525,0,0,,1996-1997
Dikembe Mutombo,30,ATL,C,80,80,2973,.527,6.7,1.000,.509,.359,.114,.019,.000,.527,.635,.467,.268,.286,,.471,,.209,146,,,0,0,"MVP-13,DPOY-1,AS",1996-1997
Antoine Walker,20,BOS,PF,82,68,2970,.425,10.5,.883,.621,.121,.078,.063,.117,.438,.429,.518,.387,.447,.327,.462,.923,.063,84,.157,.320,0,0,ROY-4,1996-1997
Reggie Miller,31,IND,SG,81,81,2966,.444,17.8,.569,.148,.044,.134,.243,.431,.456,.549,.382,.347,.474,.427,.598,.808,.006,8,.114,.361,2,0,,1996-1997
Clarence Weatherspoon,26,PHI,SF,82,82,2949,.491,10.1,.993,.419,.159,.218,.196,.007,.493,.550,.481,.356,.535,.167,.660,1.000,.092,75,.000,,0,0,,1996-1997
Dale Ellis,36,DEN,SF,82,51,2940,.414,18.3,.541,.145,.034,.050,.312,.459,.457,.557,.590,.362,.412,.364,.782,.932,.003,3,.150,.329,0,0,,1996-1997
Nick Van Exel,25,LAL,PG,79,79,2937,.402,16.5,.565,.252,.085,.102,.126,.435,.420,.454,.418,.364,.400,.378,.259,.458,.007,6,.058,.519,4,0,,1996-1997
Joe Dumars,33,DET,SG,79,79,2923,.440,17.4,.561,.091,.096,.232,.142,.439,.446,.350,.417,.448,.524,.432,.247,.843,.000,0,.138,.396,0,0,"DPOY-6,AS",1996-1997
John Stockton,34,UTA,PG,82,82,2896,.548,13.2,.763,.356,.082,.123,.203,.237,.587,.681,.435,.473,.552,.422,.468,.526,.000,0,.039,.571,0,0,"MVP-15,AS,NBA3",1996-1997
Olden Polynice,32,SAC,C,82,82,2893,.457,8.8,.994,.326,.384,.210,.074,.006,.460,.562,.456,.365,.306,.000,.633,,.050,43,.833,.000,0,0,,1996-1997
Patrick Ewing,34,NYK,C,78,78,2887,.488,9.3,.993,.341,.273,.271,.107,.007,.490,.550,.529,.409,.403,.222,.655,1.000,.065,87,.333,.000,0,0,"MVP-8,AS,NBA2",1996-1997
Charles Oakley,33,NYK,PF,80,80,2873,.488,12.4,.973,.365,.076,.143,.389,.027,.495,.545,.585,.343,.485,.263,.778,1.000,.004,3,.105,.500,0,0,,1996-1997
Terrell Brandon,26,CLE,PG,78,78,2868,.438,15.6,.794,.158,.065,.208,.363,.206,.455,.556,.365,.377,.472,.373,.399,.495,.008,11,.059,.375,0,0,AS,1996-1997
Hakeem Olajuwon,34,HOU,C,78,78,2852,.510,9.5,.989,.283,.302,.290,.113,.011,.512,.594,.517,.459,.429,.313,.731,1.000,.041,50,.250,.500,1,0,"MVP-7,AS,NBA1",1996-1997
Vlade Divac,28,CHH,C,81,80,2840,.494,9.6,.945,.622,.116,.077,.130,.055,.509,.526,.510,.369,.509,.234,.646,1.000,.068,58,.043,.000,3,0,,1996-1997
Loy Vaught,28,LAC,PF,82,82,2838,.500,12.1,.989,.243,.125,.306,.315,.011,.504,.570,.493,.440,.519,.167,.707,1.000,.041,41,.000,,0,0,,1996-1997
Jim Jackson,26,2TM,SG,77,77,2831,.431,12.9,.760,.362,.128,.147,.122,.240,.458,.542,.356,.318,.484,.348,.587,.872,.041,41,.194,.333,4,0,,1996-1997
Jim Jackson,26,DAL,SG,46,46,1676,.442,12.5,.764,.345,.136,.168,.114,.236,.477,.562,.350,.354,.552,.331,.612,.935,.053,30,.230,.375,2,0,,1996-1997
Jim Jackson,26,NJN,SF,31,31,1155,.417,13.3,.755,.385,.118,.118,.134,.245,.432,.518,.365,.250,.407,.370,.549,.800,.025,11,.148,.250,2,0,,1996-1997
Steve Smith,27,ATL,SG,72,72,2818,.429,15.0,.661,.261,.104,.162,.134,.339,.477,.535,.471,.398,.464,.335,.424,.669,.021,21,.108,.357,5,0,MVP-17,1996-1997
Chris Webber,23,WSB,PF,72,72,2806,.518,10.0,.871,.482,.174,.134,.081,.129,.535,.618,.517,.314,.447,.397,.649,.933,.156,177,.013,1.000,1,0,AS,1996-1997
Shareef Abdur-Rahim,20,VAN,PF,80,71,2802,.453,9.7,.978,.495,.190,.144,.148,.022,.457,.529,.420,.354,.367,.259,.573,.714,.075,85,.111,.333,1,0,ROY-3,1996-1997
Michael Finley,23,2TM,SF,83,54,2790,.444,13.9,.739,.256,.116,.129,.238,.261,.473,.642,.403,.319,.408,.361,.604,.970,.077,79,.146,.341,2,0,,1996-1997
Michael Finley,23,PHO,SF,27,18,796,.475,13.1,.815,.290,.152,.114,.259,.185,.525,.686,.400,.324,.506,.255,.748,1.000,.088,26,.164,.222,0,0,,1996-1997
Michael Finley,23,DAL,SF,56,36,1994,.432,14.8,.709,.243,.102,.134,.230,.291,.450,.622,.405,.317,.365,.387,.530,.966,.072,53,.142,.375,2,0,,1996-1997
Bryant Reeves,23,VAN,C,75,75,2777,.486,9.4,.989,.347,.272,.264,.105,.011,.490,.562,.505,.421,.389,.091,.757,.000,.060,61,.273,.000,0,0,,1996-1997
Hersey Hawkins,30,SEA,SG,82,82,2755,.464,15.3,.553,.284,.078,.077,.114,.447,.514,.637,.387,.279,.451,.403,.668,.951,.001,1,.161,.404,0,0,,1996-1997
Shawn Kemp,27,SEA,PF,81,75,2750,.510,8.6,.968,.578,.169,.084,.138,.032,.515,.577,.460,.356,.415,.364,.665,.917,.175,166,.182,.167,0,0,"DPOY-6,AS",1996-1997
Chris Mullin,33,GSW,SF,79,63,2733,.553,14.9,.745,.271,.038,.088,.347,.255,.602,.735,.500,.443,.549,.411,.752,.880,.005,4,.109,.500,0,0,,1996-1997
Mario Elie,33,HOU,SF,78,77,2687,.497,15.0,.511,.303,.116,.065,.027,.489,.572,.706,.426,.289,.375,.420,.602,.975,.075,40,.185,.453,2,0,DPOY-6,1996-1997
Allan Houston,25,NYK,SG,81,81,2681,.423,16.2,.628,.172,.082,.178,.196,.372,.446,.480,.435,.364,.495,.385,.516,.804,.017,18,.102,.385,0,0,,1996-1997
Otis Thorpe,34,DET,C,79,79,2661,.532,8.0,.997,.535,.225,.154,.084,.003,.534,.646,.407,.355,.485,.000,.702,,.172,125,.000,,0,0,,1996-1997
Kevin Johnson,30,PHO,PG,70,70,2658,.496,13.5,.773,.361,.064,.130,.218,.227,.512,.620,.474,.310,.464,.441,.230,.551,.001,1,.099,.400,2,0,MVP-17,1996-1997
Rick Fox,27,BOS,SF,76,75,2650,.456,13.5,.707,.468,.056,.118,.066,.293,.494,.497,.528,.446,.524,.363,.584,.871,.032,27,.165,.391,1,0,DPOY-6,1996-1997
Walt Williams,26,TOR,SF,73,73,2647,.427,16.2,.555,.256,.074,.096,.129,.445,.448,.542,.425,.223,.441,.400,.619,.943,.042,40,.195,.400,3,0,,1996-1997
Danny Ferry,30,CLE,PF,82,48,2633,.429,17.8,.642,.068,.071,.147,.356,.358,.445,.222,.375,.359,.537,.401,.833,.991,.001,1,.187,.340,3,0,,1996-1997
Rony Seikaly,31,ORL,C,74,68,2615,.507,6.9,.997,.539,.319,.118,.021,.003,.509,.573,.467,.393,.158,.000,.563,,.105,90,.333,.000,0,0,,1996-1997
Larry Johnson,27,NYK,SF,76,76,2613,.512,10.3,.857,.533,.136,.143,.045,.143,.543,.584,.540,.371,.606,.324,.556,.941,.027,20,.076,.250,1,0,,1996-1997
Ervin Johnson,29,DEN,C,82,82,2599,.520,7.9,.996,.507,.268,.133,.088,.004,.523,.603,.504,.387,.317,.000,.584,,.122,54,.000,,0,0,,1996-1997
Jeff Hornacek,33,UTA,SG,82,82,2592,.482,14.8,.772,.224,.118,.124,.305,.228,.516,.594,.446,.434,.521,.369,.666,.861,.000,0,.108,.571,0,0,,1996-1997
P.J. Brown,27,MIA,PF,80,71,2592,.457,8.8,.997,.357,.299,.253,.088,.003,.459,.577,.378,.373,.500,.000,.733,,.133,83,.500,.000,0,0,,1996-1997
Dale Davis,27,IND,PF,80,76,2589,.538,7.2,1.000,.533,.259,.189,.019,.000,.538,.624,.506,.338,.538,,.557,,.170,114,,,0,0,,1996-1997
Tyrone Hill,28,CLE,C,74,70,2582,.600,6.0,.998,.701,.222,.071,.005,.002,.601,.655,.515,.381,.000,.000,.630,,.118,68,.000,,0,0,,1996-1997
Antonio McDyess,22,DEN,PF,74,73,2565,.463,10.9,.970,.313,.192,.266,.199,.030,.472,.577,.450,.403,.422,.171,.734,1.000,.117,117,.000,,0,0,,1996-1997
Isaiah Rider,25,POR,SG,76,68,2563,.464,12.9,.739,.303,.165,.151,.120,.261,.492,.581,.414,.432,.449,.385,.485,.707,.034,33,.043,.545,0,0,,1996-1997
Ray Allen,21,MIL,SG,82,81,2532,.430,15.2,.672,.251,.098,.189,.133,.328,.448,.474,.461,.413,.438,.393,.388,.778,.025,21,.171,.490,3,1,,1996-1997
Michael Smith,24,SAC,PF,81,52,2526,.539,6.6,1.000,.667,.264,.051,.019,.000,.539,.644,.364,.211,.143,,.619,,.171,61,,,0,0,,1996-1997
Bryon Russell,26,UTA,SF,81,81,2525,.479,15.0,.574,.373,.050,.066,.085,.426,.531,.636,.323,.293,.377,.409,.810,.944,.068,41,.136,.500,1,0,,1996-1997
Elden Campbell,28,LAL,PF,77,77,2516,.469,8.1,.996,.446,.338,.195,.017,.004,.470,.521,.434,.424,.375,.250,.644,1.000,.089,80,.250,.000,0,0,,1996-1997
Horace Grant,31,ORL,PF,67,67,2496,.515,12.1,.991,.311,.114,.157,.410,.009,.518,.676,.456,.349,.481,.167,.765,1.000,.052,34,.167,1.000,0,0,DPOY-6,1996-1997
A.C. Green,33,2TM,PF,83,73,2492,.483,11.1,.959,.444,.101,.161,.252,.041,.502,.581,.388,.436,.451,.050,.704,.000,.050,24,.050,.000,4,1,,1996-1997
A.C. Green,33,PHO,PF,27,19,548,.477,10.8,.977,.453,.094,.180,.250,.023,.488,.586,.417,.391,.406,.000,.787,,.070,9,.000,,0,0,,1996-1997
A.C. Green,33,DAL,PF,56,54,1944,.486,11.4,.952,.441,.104,.154,.253,.048,.507,.580,.378,.455,.467,.059,.674,.000,.042,15,.059,.000,4,1,,1996-1997
Rodney Rogers,25,LAC,SF,81,62,2480,.462,11.1,.796,.428,.195,.110,.064,.204,.487,.603,.384,.299,.351,.361,.458,.892,.083,67,.150,.370,0,0,,1996-1997
Avery Johnson,31,SAS,PG,76,76,2472,.477,11.6,.962,.480,.070,.105,.307,.038,.487,.532,.458,.389,.457,.231,.371,1.000,.001,1,.000,,0,0,,1996-1997
Malik Sealy,26,LAC,SG,80,79,2456,.396,14.7,.764,.272,.079,.191,.224,.236,.408,.449,.500,.306,.412,.356,.626,.899,.024,22,.131,.483,0,0,,1996-1997
Eric Williams,24,BOS,SG,72,67,2435,.456,9.0,.990,.638,.170,.122,.061,.010,.458,.446,.468,.500,.480,.250,.573,1.000,.027,21,.000,,0,0,,1996-1997
Popeye Jones,26,TOR,PF,79,61,2421,.480,11.1,.976,.354,.209,.209,.207,.024,.490,.511,.473,.500,.459,.077,.658,1.000,.006,3,.231,.000,2,0,,1996-1997
Calbert Cheaney,25,WSB,SG,79,79,2411,.505,11.7,.959,.333,.126,.225,.275,.041,.521,.613,.543,.415,.488,.133,.723,1.000,.053,39,.167,.400,0,0,,1996-1997
Matt Maloney,25,HOU,PG,82,82,2386,.441,18.5,.380,.190,.034,.052,.104,.620,.500,.564,.381,.438,.453,.404,.521,.838,.000,0,.092,.400,0,0,,1996-1997
Bobby Phills,27,CLE,SG,69,65,2375,.428,14.7,.718,.248,.119,.123,.228,.282,.442,.537,.396,.340,.417,.394,.654,.929,.039,28,.255,.364,0,0,,1996-1997
Antonio Davis,28,IND,PF,82,28,2335,.480,9.0,.978,.551,.162,.167,.100,.022,.490,.544,.433,.393,.453,.071,.769,1.000,.159,100,.143,.000,0,0,,1996-1997
Wesley Person,25,PHO,SG,80,42,2326,.453,16.4,.542,.177,.081,.144,.140,.458,.487,.656,.493,.308,.452,.413,.773,.936,.009,8,.140,.431,1,1,,1996-1997
Stephon Marbury,19,MIN,PG,67,64,2324,.408,14.9,.669,.383,.068,.094,.124,.331,.434,.482,.271,.329,.454,.354,.253,.392,.016,10,.101,.483,6,0,ROY-2,1996-1997
Alonzo Mourning,26,MIA,C,66,65,2320,.534,7.9,.990,.415,.318,.180,.078,.010,.539,.657,.441,.409,.609,.111,.638,1.000,.151,131,.111,.000,0,0,"MVP-12,AS",1996-1997
Sherman Douglas,30,MIL,PG,79,79,2316,.502,11.8,.813,.451,.108,.115,.139,.187,.540,.636,.409,.371,.471,.333,.295,.763,.000,0,.044,.200,1,0,,1996-1997
Tyrone Corbin,34,ATL,SF,70,65,2305,.422,16.5,.653,.235,.037,.090,.292,.347,.457,.504,.455,.296,.469,.356,.816,1.000,.007,4,.087,.167,0,0,,1996-1997
Anthony Peeler,27,VAN,SG,72,57,2291,.398,16.8,.661,.171,.060,.121,.309,.339,.410,.474,.377,.344,.407,.373,.599,.898,.028,21,.128,.409,0,0,,1996-1997
Shawn Bradley,24,2TM,C,73,70,2288,.449,10.0,.991,.250,.299,.308,.134,.009,.453,.540,.417,.391,.512,.000,.599,,.064,53,.125,.000,1,0,,1996-1997
Shawn Bradley,24,NJN,C,40,38,1228,.436,10.5,.989,.232,.270,.344,.143,.011,.441,.547,.374,.408,.477,.000,.633,,.059,24,.000,,1,0,,1996-1997
Shawn Bradley,24,DAL,C,33,32,1060,.461,9.6,.993,.267,.330,.272,.125,.007,.464,.533,.453,.369,.554,.000,.565,,.069,29,.333,.000,0,0,,1996-1997
Todd Day,27,BOS,SG,81,27,2277,.398,14.8,.652,.404,.081,.099,.066,.348,.418,.369,.494,.545,.424,.362,.592,.905,.014,14,.236,.427,0,0,,1996-1997
Clyde Drexler,34,HOU,SG,62,62,2271,.442,14.6,.627,.349,.059,.079,.140,.373,.493,.580,.396,.324,.413,.355,.482,.824,.031,28,.140,.447,1,0,AS,1996-1997
Bob Sura,23,CLE,SG,82,23,2269,.431,12.5,.721,.547,.060,.049,.065,.279,.473,.551,.200,.138,.316,.323,.340,.755,.031,15,.098,.375,0,0,,1996-1997
Vinny Del Negro,30,SAS,SG,72,53,2243,.467,15.4,.821,.123,.099,.251,.348,.179,.501,.510,.468,.413,.570,.314,.617,.750,.000,0,.071,.500,0,0,,1996-1997
Anfernee Hardaway,25,ORL,PG,59,59,2221,.447,12.9,.716,.342,.168,.109,.097,.284,.499,.606,.443,.350,.385,.318,.396,.682,.066,58,.071,.474,3,0,"AS,NBA3",1996-1997
Derek Harper,35,DAL,PG,75,29,2210,.444,15.3,.739,.258,.025,.113,.343,.261,.480,.609,.412,.355,.429,.341,.448,.717,.004,3,.159,.250,0,0,,1996-1997
Gerald Wilkins,33,ORL,SG,80,26,2202,.426,13.1,.733,.320,.173,.130,.109,.267,.462,.551,.397,.394,.386,.325,.459,.970,.047,34,.266,.463,2,0,,1996-1997
Bo Outlaw,25,LAC,PF,82,25,2195,.609,6.7,.981,.652,.204,.074,.050,.019,.621,.713,.494,.355,.333,.000,.516,,.189,76,.000,,0,0,6MOY-7,1996-1997
Detlef Schrempf,34,SEA,SF,61,60,2192,.492,12.5,.778,.330,.156,.144,.148,.222,.531,.598,.496,.490,.458,.354,.635,1.000,.040,26,.050,.125,2,0,AS,1996-1997
Dennis Scott,28,ORL,SF,66,62,2166,.398,17.7,.502,.120,.095,.127,.160,.498,.402,.367,.479,.442,.350,.394,.417,.946,.005,4,.182,.485,0,0,,1996-1997
Jamal Mashburn,24,2TM,SF,69,51,2164,.385,14.8,.627,.248,.140,.155,.085,.373,.421,.484,.375,.339,.460,.325,.413,.922,.017,10,.137,.447,1,0,,1996-1997
Jamal Mashburn,24,DAL,SF,37,21,975,.372,14.6,.652,.293,.104,.149,.106,.348,.400,.436,.385,.321,.425,.321,.357,.905,.013,3,.084,.455,0,0,,1996-1997
Jamal Mashburn,24,MIA,SF,32,30,1189,.398,15.0,.602,.202,.177,.161,.063,.398,.443,.554,.369,.356,.522,.329,.469,.938,.022,7,.185,.444,1,0,,1996-1997
Nick Anderson,29,ORL,SG,63,61,2163,.397,17.1,.441,.157,.124,.084,.076,.559,.453,.553,.400,.311,.491,.353,.448,.923,.028,19,.121,.490,2,0,,1996-1997
Hot Rod Williams,34,PHO,C,68,66,2137,.490,9.1,.995,.553,.123,.173,.144,.005,.493,.591,.490,.222,.450,.000,.750,,.130,53,.500,.000,1,0,,1996-1997
Danny Manning,30,PHO,PF,77,17,2134,.536,8.7,.955,.409,.269,.205,.072,.045,.552,.702,.500,.374,.404,.194,.714,.714,.029,21,.139,.400,0,0,6MOY-7,1996-1997
Mahmoud Abdul-Rauf,27,SAC,PG,75,51,2131,.445,18.1,.734,.067,.026,.133,.508,.266,.468,.484,.375,.423,.482,.382,.580,.734,.000,0,.045,.364,0,0,,1996-1997
Voshon Lenard,23,MIA,SG,73,47,2111,.459,18.4,.354,.151,.066,.048,.089,.646,.541,.680,.467,.273,.508,.414,.649,.918,.007,5,.238,.457,0,0,,1996-1997
Derrick Coleman,29,PHI,PF,57,54,2102,.435,11.2,.858,.347,.196,.219,.096,.142,.463,.552,.482,.344,.375,.269,.566,.844,.094,75,.084,.500,1,0,,1996-1997
Dell Curry,32,CHH,SG,68,20,2078,.459,15.9,.646,.291,.032,.093,.230,.354,.478,.391,.481,.410,.615,.426,.725,.865,.012,10,.142,.500,0,0,6MOY-5,1996-1997
Chris Childs,29,NYK,PG,65,61,2076,.414,16.5,.645,.275,.041,.110,.220,.355,.429,.457,.429,.250,.482,.387,.234,.671,.000,0,.083,.133,3,0,,1996-1997
Vernon Maxwell,31,SAS,SG,72,31,2068,.375,16.0,.589,.269,.050,.096,.174,.411,.421,.557,.244,.195,.386,.309,.596,.887,.004,4,.188,.314,0,0,,1996-1997
Travis Best,24,IND,PG,76,46,2064,.442,15.1,.750,.279,.060,.132,.279,.250,.467,.532,.405,.402,.445,.368,.355,.754,.000,0,.129,.350,0,0,,1996-1997
Johnny Newman,33,MIL,SF,82,4,2060,.450,12.0,.821,.448,.117,.121,.135,.179,.472,.547,.297,.364,.473,.347,.561,.941,.059,30,.184,.333,1,0,,1996-1997
Armen Gilliam,32,MIL,PF,80,25,2050,.471,9.3,1.000,.314,.307,.274,.105,.000,.471,.549,.513,.343,.455,,.646,,.034,18,,,0,0,,1996-1997
Sam Mitchell,33,MIN,SF,82,5,2044,.446,12.2,.959,.315,.153,.149,.342,.041,.458,.553,.446,.356,.422,.160,.751,.750,.025,15,.280,.286,1,0,,1996-1997
John Starks,31,NYK,SG,77,1,2042,.431,17.5,.525,.246,.018,.055,.206,.475,.488,.573,.067,.447,.432,.369,.548,.787,.018,15,.160,.477,2,0,6MOY-1,1996-1997
Charles Barkley,33,HOU,PF,53,53,2009,.484,12.2,.704,.431,.140,.092,.040,.296,.569,.674,.412,.344,.500,.283,.437,.379,.077,51,.176,.417,3,1,"MVP-16,AS",1996-1997
Derek Strong,28,ORL,PF,82,21,2004,.447,11.2,.978,.408,.167,.150,.253,.022,.457,.515,.408,.386,.439,.000,.618,,.034,18,.077,.000,2,0,,1996-1997
LaPhonso Ellis,26,DEN,PF,55,49,2002,.439,13.4,.745,.246,.194,.182,.122,.255,.464,.538,.497,.395,.363,.367,.557,.895,.056,53,.039,.500,1,0,,1996-1997
Terry Mills,29,DET,PF,79,5,1997,.444,19.1,.409,.093,.083,.093,.141,.591,.477,.446,.483,.508,.475,.422,.518,.960,.004,3,.169,.386,4,0,6MOY-4,1996-1997
Billy Owens,27,SAC,SF,66,56,1995,.467,11.5,.888,.353,.238,.100,.197,.113,.482,.571,.480,.375,.381,.347,.526,.880,.030,16,.069,.200,2,0,,1996-1997
Corliss Williamson,23,SAC,SF,79,31,1992,.498,8.6,.996,.474,.263,.161,.098,.004,.500,.612,.464,.275,.425,.000,.628,,.064,43,.000,,0,0,,1996-1997
Sam Perkins,35,SEA,C,81,4,1976,.439,15.7,.533,.194,.179,.089,.071,.467,.477,.469,.492,.475,.468,.395,.500,.951,.005,3,.058,.667,3,0,6MOY-5,1996-1997
Kevin Willis,34,HOU,PF,75,32,1964,.481,8.4,.981,.337,.420,.166,.058,.019,.487,.620,.464,.347,.286,.143,.649,.000,.084,57,.214,.333,1,0,,1996-1997
Jason Kidd,23,2TM,PG,55,45,1964,.403,14.6,.688,.323,.072,.108,.185,.312,.418,.515,.342,.246,.378,.370,.388,.705,.028,14,.158,.269,2,0,,1996-1997
Jason Kidd,23,DAL,PG,22,22,791,.369,14.3,.680,.330,.069,.128,.153,.320,.391,.478,.286,.269,.355,.323,.315,.667,.005,1,.185,.250,1,0,,1996-1997
Jason Kidd,23,PHO,PG,33,23,1173,.423,14.9,.693,.319,.074,.095,.206,.307,.434,.538,.375,.226,.388,.400,.429,.725,.043,13,.140,.286,1,0,,1996-1997
