Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P_1,0-3_1,3-10_1,10-16_1,16-3P_1,3P_1,2P_2,3P_2,%FGA,#,%3PA,3P%,Att.,Md.,Awards,Year
James Nunnally,23,PHI,SF,9,0,111,.321,16.7,.464,.179,.143,.036,.107,.536,.308,.800,.000,.000,.000,.333,.500,1.000,.000,0,.267,.750,0,0,,2013-2014
Earl Watson,34,POR,PG,24,0,161,.273,20.5,.364,.000,.182,.000,.182,.636,.250,,.500,,.000,.286,.000,1.000,.000,0,.429,.333,0,0,,2013-2014
Jamaal Franklin,22,MEM,SG,21,0,161,.410,14.3,.718,.308,.051,.077,.282,.282,.393,.583,.000,.000,.364,.455,.636,1.000,.026,1,.182,1.000,0,0,,2013-2014
Ronnie Brewer,28,2TM,SF,24,3,160,.200,16.8,.467,.200,.067,.000,.200,.533,.286,.667,.000,,.000,.125,1.000,1.000,.000,0,.750,.167,0,0,,2013-2014
Ronnie Brewer,28,HOU,SF,23,3,158,.200,16.8,.467,.200,.067,.000,.200,.533,.286,.667,.000,,.000,.125,1.000,1.000,.000,0,.750,.167,0,0,,2013-2014
Ronnie Brewer,28,CHI,SF,1,0,2,,,,,,,,,,,,,,,,,,0,,,0,0,,2013-2014
John Jenkins,22,ATL,SG,13,0,158,.381,14.0,.571,.357,.071,.024,.119,.429,.500,.467,.333,1.000,.600,.222,.583,1.000,.000,0,.222,.000,0,0,,2013-2014
Sergey Karasev,20,CLE,SF,22,1,156,.343,19.1,.457,.114,.057,.000,.286,.543,.500,1.000,.500,,.300,.211,.750,1.000,.000,0,.316,.500,0,0,,2013-2014
Tornike Shengelia,22,2TM,SF,26,0,154,.464,5.8,.786,.571,.179,.000,.036,.214,.591,.688,.400,,.000,.000,.385,,.107,3,.167,.000,0,0,,2013-2014
Tornike Shengelia,22,BRK,SF,17,0,137,.458,8.8,.750,.542,.167,.000,.042,.250,.611,.692,.500,,.000,.000,.364,,.083,2,.167,.000,0,0,,2013-2014
Tornike Shengelia,22,CHI,SF,9,0,17,.500,2.8,1.000,.750,.250,.000,.000,.000,.500,.667,.000,,,,.500,,.250,1,,,0,0,,2013-2014
Austin Daye,25,2TM,SF,22,1,148,.353,17.8,.456,.118,.147,.088,.103,.544,.387,.750,.200,.500,.143,.324,.333,1.000,.000,0,.108,.000,0,0,,2013-2014
Austin Daye,25,TOR,SF,8,0,33,.231,17.6,.385,.231,.077,.000,.077,.615,.600,1.000,.000,,.000,.000,.333,,.000,0,.125,.000,0,0,,2013-2014
Austin Daye,25,SAS,SF,14,1,115,.382,18.1,.473,.091,.164,.109,.109,.527,.346,.600,.222,.500,.167,.414,.333,1.000,.000,0,.103,.000,0,0,,2013-2014
Bernard James,28,DAL,C,30,0,146,.478,4.8,.957,.783,.130,.043,.000,.043,.500,.556,.333,.000,,.000,.545,,.087,1,.000,,1,0,,2013-2014
Dwight Buycks,24,TOR,PG,14,0,146,.313,15.7,.646,.188,.167,.063,.229,.354,.323,.667,.125,.333,.182,.294,.500,1.000,.000,0,.118,.500,0,0,,2013-2014
Nemanja Nedović,22,GSW,SG,24,0,142,.205,17.7,.538,.154,.077,.103,.205,.462,.238,.333,.000,.250,.250,.167,.400,.333,.000,0,.167,.333,0,0,,2013-2014
Chris Babb,23,BOS,SG,14,0,132,.267,23.5,.100,.067,.000,.000,.033,.900,.667,1.000,,,.000,.222,1.000,1.000,.000,0,.222,.167,0,0,,2013-2014
Chris Wright,25,MIL,SF,8,0,126,.600,3.0,.971,.800,.143,.000,.029,.029,.618,.643,.400,,1.000,.000,.714,,.286,8,1.000,.000,0,0,,2013-2014
Julyan Stone,25,TOR,SG,21,0,120,.412,13.8,.529,.235,.294,.000,.000,.471,.556,.500,.600,,,.250,.200,1.000,.059,1,.250,.000,0,0,,2013-2014
Casper Ware,24,PHI,PG,9,0,116,.429,16.3,.500,.143,.190,.048,.119,.500,.524,1.000,.500,.000,.200,.333,.455,.714,.000,0,.143,1.000,1,1,,2013-2014
