Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot_1,PGA,And1,Blkd,Awards,Year,Off._1
Glen Rice,29,CHH,SF,79,78,3362,0,4,90,6,0,4.3,4.2,63,28,79,24,182,348,43,54,"MVP-5,AS,NBA2",1996-1997,
Latrell Sprewell,26,GSW,SG,80,79,3353,3,85,12,0,0,-4.7,10.7,156,70,66,18,213,1107,54,73,AS,1996-1997,
Juwan Howard,23,WSB,SF,82,82,3324,0,2,61,36,0,2.4,-2.7,101,44,87,38,160,659,36,83,,1996-1997,
Damon Stoudamire,23,TOR,PG,81,81,3311,98,2,0,0,0,-3.6,-1.4,141,79,62,6,113,1605,23,91,,1996-1997,
Gary Payton,28,SEA,PG,82,82,3213,91,9,0,0,0,11.0,8.3,119,41,64,15,130,1323,38,80,"MVP-6,DPOY-2,AS,NBA2",1996-1997,
Kendall Gill,28,NJN,SF,82,81,3199,0,36,64,0,0,-1.7,8.1,88,46,92,29,197,724,46,124,,1996-1997,
Chris Mills,27,CLE,SF,80,79,3167,0,8,89,3,0,4.5,9.1,59,21,80,14,74,440,13,46,,1996-1997,
Jerry Stackhouse,22,PHI,SG,81,81,3166,0,73,26,0,0,-7.6,0.0,110,93,70,28,253,544,37,92,,1996-1997,
Vin Baker,25,MIL,PF,78,78,3159,0,0,0,42,58,-1.3,3.7,89,74,124,32,226,474,65,105,"AS,NBA3",1996-1997,
Grant Hill,24,DET,SF,80,80,3147,0,3,91,5,0,7.3,1.6,120,57,70,34,264,1424,68,63,"MVP-3,AS,NBA1",1996-1997,
Anthony Mason,30,CHH,PF,73,73,3143,0,0,8,91,1,3.7,0.2,80,25,100,20,185,977,56,66,"MVP-9,NBA3",1996-1997,
Christian Laettner,27,ATL,PF,82,82,3140,0,0,0,79,21,11.4,20.2,80,45,97,30,190,523,45,67,AS,1996-1997,
Tim Hardaway,30,MIA,PG,81,81,3136,100,0,0,0,0,8.7,11.7,147,45,62,7,89,1574,22,40,"MVP-4,AS,NBA1",1996-1997,
Tom Gugliotta,27,MIN,PF,81,81,3131,0,0,0,78,22,-2.1,-4.8,149,66,134,26,212,715,35,108,"MVP-17,AS",1996-1997,
Doug Christie,26,TOR,SG,81,81,3127,3,81,16,0,0,-2.6,3.6,93,44,93,18,111,720,22,81,,1996-1997,
Mitch Richmond,31,SAC,SG,81,81,3125,2,91,7,0,0,-3.0,6.8,122,46,92,12,199,715,53,90,"MVP-13,AS,NBA2",1996-1997,
Glenn Robinson,24,MIL,SF,80,79,3114,0,0,82,18,0,-2.5,-2.0,110,79,135,11,122,535,28,84,,1996-1997,
Michael Jordan,33,CHI,SG,82,82,3106,5,87,7,0,0,13.3,8.0,85,41,65,9,221,793,45,49,"MVP-2,DPOY-5,AS,NBA1",1996-1997,
Scottie Pippen,31,CHI,SF,82,82,3095,0,8,86,7,0,13.4,8.1,115,40,75,18,114,1024,36,46,"MVP-11,DPOY-4,AS,NBA2",1996-1997,
Joe Smith,21,GSW,PF,80,80,3086,0,0,1,79,20,-4.7,7.7,75,56,141,14,159,279,30,91,,1996-1997,
Kenny Anderson,26,POR,PG,82,81,3081,100,0,0,0,0,5.6,4.0,110,42,83,16,144,1317,38,80,,1996-1997,
Clifford Robinson,30,POR,SF,81,79,3077,0,0,90,10,0,4.6,-0.6,76,34,121,7,126,566,36,61,,1996-1997,
Mookie Blaylock,29,ATL,PG,78,78,3056,100,0,0,0,0,10.7,16.5,142,26,58,4,50,1040,9,25,DPOY-3,1996-1997,
Mark Jackson,31,2TM,PG,82,82,3054,93,7,0,0,0,-2.8,3.3,212,36,50,12,60,2064,10,49,,1996-1997,
Mark Jackson,31,DEN,PG,52,52,2001,99,1,0,0,0,-4.9,5.2,128,25,32,9,41,1415,7,32,,1996-1997,
Mark Jackson,31,IND,PG,30,30,1053,82,18,0,0,0,1.3,-0.3,84,11,18,3,19,649,3,17,,1996-1997,
Allen Iverson,21,PHI,PG,76,74,3045,100,0,0,0,0,-7.8,-0.9,174,78,88,19,180,1199,40,105,"MVP-17,ROY-1",1996-1997,
Lindsey Hunter,26,DET,PG,82,76,3023,100,0,0,0,0,5.5,-6.3,48,14,77,12,75,347,14,32,,1996-1997,
Kerry Kittles,22,NJN,SG,82,57,3012,23,77,1,0,0,-3.4,-0.4,55,31,70,10,85,554,22,53,ROY-5,1996-1997,
Karl Malone,33,UTA,PF,82,82,2998,0,0,3,77,20,11.7,21.9,149,18,96,28,296,778,87,78,"MVP-1,AS,NBA1",1996-1997,
Eddie Jones,25,LAL,SG,80,80,2998,1,70,28,0,0,3.9,-0.3,88,16,72,17,109,580,18,74,AS,1996-1997,
Rod Strickland,30,WSB,PG,82,81,2997,95,5,0,0,0,3.2,1.4,164,48,59,21,201,1542,61,62,,1996-1997,
Kevin Garnett,20,MIN,SF,77,77,2995,0,0,57,42,1,2.7,15.0,61,32,104,9,105,520,22,42,AS,1996-1997,
David Wesley,26,BOS,PG,74,73,2991,80,20,0,0,0,-7.4,2.8,143,29,98,12,113,1199,24,59,,1996-1997,
Dikembe Mutombo,30,ATL,C,80,80,2973,0,0,0,0,100,8.5,6.2,34,37,123,30,169,259,32,58,"MVP-13,DPOY-1,AS",1996-1997,
Antoine Walker,20,BOS,PF,82,68,2970,0,0,19,61,20,-9.3,-4.8,118,27,129,16,158,587,40,118,ROY-4,1996-1997,
Reggie Miller,31,IND,SG,81,81,2966,7,84,9,0,0,0.8,-2.8,85,31,48,14,149,569,37,36,,1996-1997,
Clarence Weatherspoon,26,PHI,SF,82,82,2949,0,0,50,49,1,-8.8,-4.7,50,36,115,7,118,320,20,80,,1996-1997,
Dale Ellis,36,DEN,SF,82,51,2940,0,20,79,1,0,-9.2,-6.5,67,19,61,17,86,373,12,46,,1996-1997,
Nick Van Exel,25,LAL,PG,79,79,2937,100,0,0,0,0,3.5,-1.6,155,23,37,5,59,1471,10,39,,1996-1997,
Joe Dumars,33,DET,SG,79,79,2923,17,83,0,0,0,5.9,-3.8,93,20,27,2,73,719,16,25,"DPOY-6,AS",1996-1997,
John Stockton,34,UTA,PG,82,82,2896,100,0,0,0,0,8.7,7.6,189,27,64,14,80,1771,23,40,"MVP-15,AS,NBA3",1996-1997,
Olden Polynice,32,SAC,C,82,82,2893,0,0,0,7,93,-4.1,1.0,63,41,120,19,109,400,19,76,,1996-1997,
Patrick Ewing,34,NYK,C,78,78,2887,0,0,0,0,100,6.2,7.4,93,71,120,27,244,371,55,58,"MVP-8,AS,NBA2",1996-1997,
Charles Oakley,33,NYK,PF,80,80,2873,0,0,1,74,25,2.9,-4.6,105,15,154,13,77,491,19,23,,1996-1997,
Terrell Brandon,26,CLE,PG,78,78,2868,100,0,0,0,0,2.6,0.1,89,46,74,8,78,1080,14,20,AS,1996-1997,
Hakeem Olajuwon,34,HOU,C,78,78,2852,0,0,0,0,100,7.0,7.4,113,72,140,19,186,590,48,89,"MVP-7,AS,NBA1",1996-1997,
Vlade Divac,28,CHH,C,81,80,2840,0,0,0,0,100,6.4,9.8,105,26,148,16,104,688,21,59,,1996-1997,
Loy Vaught,28,LAC,PF,82,82,2838,0,0,0,69,31,-7.7,-15.5,60,22,102,21,74,255,17,46,,1996-1997,
Jim Jackson,26,2TM,SG,77,77,2831,2,52,45,1,0,-7.5,-3.2,113,30,94,16,108,692,22,77,,1996-1997,
Jim Jackson,26,DAL,SG,46,46,1676,3,87,10,0,0,-10.4,-5.3,62,5,52,9,55,342,13,39,,1996-1997,
Jim Jackson,26,NJN,SF,31,31,1155,0,2,96,2,0,-3.4,-0.1,51,25,42,7,53,350,9,38,,1996-1997,
Steve Smith,27,ATL,SG,72,72,2818,0,91,10,0,0,8.0,3.7,77,34,68,20,121,708,21,44,MVP-17,1996-1997,
Chris Webber,23,WSB,PF,72,72,2806,0,0,0,45,55,5.0,7.6,126,28,115,35,129,694,38,45,AS,1996-1997,
Shareef Abdur-Rahim,20,VAN,PF,80,71,2802,0,0,35,64,0,-11.5,-3.9,85,58,88,27,220,387,51,162,ROY-3,1996-1997,
Michael Finley,23,2TM,SF,83,54,2790,0,10,85,5,0,-7.1,-2.9,88,31,64,8,110,488,21,56,,1996-1997,
Michael Finley,23,PHO,SF,27,18,796,0,8,82,10,0,-5.0,-7.3,17,15,14,3,33,154,7,11,,1996-1997,
Michael Finley,23,DAL,SF,56,36,1994,0,11,86,3,0,-8.0,-1.2,71,16,50,5,77,334,14,45,,1996-1997,
Bryant Reeves,23,VAN,C,75,75,2777,0,0,0,0,100,-9.8,2.0,67,44,142,23,138,387,28,78,,1996-1997,
Hersey Hawkins,30,SEA,SG,82,82,2755,0,88,12,0,0,10.9,4.8,73,34,60,10,93,553,18,49,,1996-1997,
Shawn Kemp,27,SEA,PF,81,75,2750,0,0,0,81,19,9.7,0.9,80,48,168,50,240,364,49,98,"DPOY-6,AS",1996-1997,
Chris Mullin,33,GSW,SF,79,63,2733,0,12,86,3,0,-6.4,-0.1,129,36,68,12,74,704,21,29,,1996-1997,
Mario Elie,33,HOU,SF,78,77,2687,0,35,65,0,0,6.0,3.7,77,28,81,8,73,680,15,29,DPOY-6,1996-1997,
Allan Houston,25,NYK,SG,81,81,2681,0,72,28,0,0,2.3,-5.7,77,28,105,16,70,384,18,35,,1996-1997,
Otis Thorpe,34,DET,C,79,79,2661,0,0,0,31,69,6.5,-1.5,47,20,132,36,136,306,37,53,,1996-1997,
Kevin Johnson,30,PHO,PG,70,70,2658,100,0,0,0,0,2.7,5.9,151,33,45,9,157,1428,36,44,MVP-17,1996-1997,
Rick Fox,27,BOS,SF,76,75,2650,0,4,55,40,1,-6.9,3.5,112,20,141,16,97,616,11,82,DPOY-6,1996-1997,
Walt Williams,26,TOR,SF,73,73,2647,0,10,86,4,0,-0.8,7.5,71,31,138,30,104,429,23,48,,1996-1997,
Danny Ferry,30,CLE,PF,82,48,2633,0,0,0,97,3,1.8,-2.2,51,10,112,21,23,333,6,22,,1996-1997,
Rony Seikaly,31,ORL,C,74,68,2615,0,0,0,2,98,-1.7,-1.3,62,55,117,35,204,213,44,77,,1996-1997,
Larry Johnson,27,NYK,SF,76,76,2613,0,0,86,14,0,4.0,-0.4,54,35,94,17,119,391,22,60,,1996-1997,
Ervin Johnson,29,DEN,C,82,82,2599,0,0,0,0,100,-6.4,3.2,61,20,165,3,59,168,8,47,,1996-1997,
Jeff Hornacek,33,UTA,SG,82,82,2592,0,100,0,0,0,14.2,22.7,91,21,79,6,95,749,21,41,,1996-1997,
P.J. Brown,27,MIA,PF,80,71,2592,0,0,4,87,9,7.2,2.5,31,28,123,19,97,221,12,62,,1996-1997,
Dale Davis,27,IND,PF,80,76,2589,0,0,0,56,44,0.0,-4.2,25,28,94,16,89,139,20,50,,1996-1997,
Tyrone Hill,28,CLE,C,74,70,2582,0,0,0,33,68,6.1,9.8,34,23,110,27,189,222,45,72,,1996-1997,
Antonio McDyess,22,DEN,PF,74,73,2565,0,0,0,68,32,-7.5,0.2,58,52,142,27,172,267,35,71,,1996-1997,
Isaiah Rider,25,POR,SG,76,68,2563,0,94,6,0,0,4.2,-1.4,79,39,64,22,98,431,18,68,,1996-1997,
Ray Allen,21,MIL,SG,82,81,2532,0,100,0,0,0,-1.9,0.5,73,32,109,15,93,437,17,55,,1996-1997,
Michael Smith,24,SAC,PF,81,52,2526,0,0,1,86,13,-2.6,5.1,49,28,123,15,104,435,20,35,,1996-1997,
Bryon Russell,26,UTA,SF,81,81,2525,0,4,96,0,0,13.8,20.6,42,12,119,13,76,267,16,27,,1996-1997,
Elden Campbell,28,LAL,PF,77,77,2516,0,0,0,73,27,2.9,-2.8,55,21,152,18,148,289,27,77,,1996-1997,
Horace Grant,31,ORL,PF,67,67,2496,0,0,2,76,22,0.9,5.8,69,10,70,8,70,385,20,22,DPOY-6,1996-1997,
A.C. Green,33,2TM,PF,83,73,2492,0,0,4,92,4,-8.7,-4.1,26,20,56,6,84,163,15,41,,1996-1997,
A.C. Green,33,PHO,PF,27,19,548,0,0,6,83,11,-11.0,-13.6,2,8,14,2,22,43,4,13,,1996-1997,
A.C. Green,33,DAL,PF,56,54,1944,0,0,4,95,2,-8.1,-1.5,24,12,42,4,62,120,11,28,,1996-1997,
Rodney Rogers,25,LAC,SF,81,62,2480,0,0,98,2,0,-3.3,-0.4,115,45,137,22,124,499,35,55,,1996-1997,
Avery Johnson,31,SAS,PG,76,76,2472,100,0,0,0,0,-9.3,-0.6,86,26,53,5,76,1135,17,51,,1996-1997,
Malik Sealy,26,LAC,SG,80,79,2456,0,99,1,0,0,-8.0,-12.8,82,37,96,5,93,351,19,81,,1996-1997,
Eric Williams,24,BOS,SG,72,67,2435,0,46,50,4,0,-7.1,2.5,55,26,88,22,198,291,47,87,,1996-1997,
Popeye Jones,26,TOR,PF,79,61,2421,0,0,23,74,3,-2.6,1.9,40,19,119,19,49,191,12,25,,1996-1997,
Calbert Cheaney,25,WSB,SG,79,79,2411,0,94,6,0,0,3.1,0.6,38,14,89,12,48,242,11,35,,1996-1997,
Matt Maloney,25,HOU,PG,82,82,2386,99,1,0,0,0,6.7,4.7,82,19,58,7,23,680,11,19,,1996-1997,
Bobby Phills,27,CLE,SG,69,65,2375,0,93,7,0,0,3.8,2.9,64,23,62,14,60,506,17,45,,1996-1997,
Antonio Davis,28,IND,PF,82,28,2335,0,0,9,80,12,3.5,4.7,42,26,126,26,138,148,19,66,,1996-1997,
Wesley Person,25,PHO,SG,80,42,2326,1,61,33,6,0,0.4,-1.0,33,20,38,6,40,271,11,40,,1996-1997,
Stephon Marbury,19,MIN,PG,67,64,2324,99,1,0,0,0,-3.0,-4.7,134,33,57,14,115,1105,25,92,ROY-2,1996-1997,
Alonzo Mourning,26,MIA,C,66,65,2320,0,0,0,26,74,10.7,10.5,58,38,104,56,218,264,40,68,"MVP-12,AS",1996-1997,
Sherman Douglas,30,MIL,PG,79,79,2316,100,0,0,0,0,-2.7,-1.5,96,25,74,13,67,926,23,26,,1996-1997,
Tyrone Corbin,34,ATL,SF,70,65,2305,0,2,98,1,0,11.3,10.4,48,8,81,16,33,293,5,33,,1996-1997,
Anthony Peeler,27,VAN,SG,72,57,2291,1,96,3,0,0,-9.4,2.4,93,32,59,7,50,551,10,47,,1996-1997,
Shawn Bradley,24,2TM,C,73,70,2288,0,0,0,0,100,-5.8,-0.8,61,26,126,18,99,117,16,52,,1996-1997,
Shawn Bradley,24,NJN,C,40,38,1228,0,0,0,0,100,-2.5,1.1,27,13,70,9,52,46,6,29,,1996-1997,
Shawn Bradley,24,DAL,C,33,32,1060,0,0,0,0,100,-9.6,-3.0,34,13,56,9,47,71,10,23,,1996-1997,
Todd Day,27,BOS,SG,81,27,2277,5,84,11,0,0,-8.2,-0.2,69,25,91,11,139,252,24,61,,1996-1997,
Clyde Drexler,34,HOU,SG,62,62,2271,0,97,2,0,0,7.8,6.9,96,34,68,13,94,796,26,40,AS,1996-1997,
Bob Sura,23,CLE,SG,82,23,2269,38,62,0,0,0,0.9,-4.1,97,33,89,12,111,872,20,49,,1996-1997,
Vinny Del Negro,30,SAS,SG,72,53,2243,0,79,21,0,0,-8.7,0.8,68,13,61,2,36,496,9,23,,1996-1997,
Anfernee Hardaway,25,ORL,PG,59,59,2221,63,37,1,0,0,4.5,13.3,88,26,53,4,142,766,30,61,"AS,NBA3",1996-1997,
Derek Harper,35,DAL,PG,75,29,2210,82,18,0,0,0,-6.8,1.3,94,6,54,11,41,717,6,12,,1996-1997,
Gerald Wilkins,33,ORL,SG,80,26,2202,0,79,20,0,0,-6.6,-11.9,46,33,47,10,78,399,16,62,,1996-1997,
Bo Outlaw,25,LAC,PF,82,25,2195,0,0,23,67,10,3.4,14.4,48,28,108,9,89,358,19,30,6MOY-7,1996-1997,
Detlef Schrempf,34,SEA,SF,61,60,2192,0,0,76,24,0,12.8,7.4,85,31,71,8,108,606,15,31,AS,1996-1997,
Dennis Scott,28,ORL,SF,66,62,2166,0,1,89,10,0,2.3,7.9,49,19,72,5,31,326,7,27,,1996-1997,
Jamal Mashburn,24,2TM,SF,69,51,2164,0,0,70,30,0,2.1,2.8,63,14,89,14,95,479,10,66,,1996-1997,
Jamal Mashburn,24,DAL,SF,37,21,975,0,0,76,24,0,-7.8,-0.6,39,4,34,7,49,211,5,28,,1996-1997,
Jamal Mashburn,24,MIA,SF,32,30,1189,0,1,64,35,0,10.2,5.6,24,10,55,7,46,268,5,38,,1996-1997,
Nick Anderson,29,ORL,SG,63,61,2163,0,48,51,1,0,3.3,10.1,54,16,90,3,32,413,5,21,,1996-1997,
Hot Rod Williams,34,PHO,C,68,66,2137,0,0,0,2,98,4.1,7.1,28,12,92,14,99,228,24,29,,1996-1997,
Danny Manning,30,PHO,PF,77,17,2134,0,0,2,55,44,2.6,3.9,74,32,125,15,103,378,31,27,6MOY-7,1996-1997,
Mahmoud Abdul-Rauf,27,SAC,PG,75,51,2131,89,11,0,0,0,-5.9,-3.2,73,14,84,4,29,409,4,30,,1996-1997,
Voshon Lenard,23,MIA,SG,73,47,2111,2,95,3,0,0,8.6,5.0,62,12,56,13,29,363,11,31,,1996-1997,
Derrick Coleman,29,PHI,PF,57,54,2102,0,0,0,73,27,-6.6,2.0,89,46,88,7,139,431,21,59,,1996-1997,
Dell Curry,32,CHH,SG,68,20,2078,1,99,1,0,0,2.7,-1.9,35,26,62,5,43,251,8,28,6MOY-5,1996-1997,
Chris Childs,29,NYK,PG,65,61,2076,88,12,0,0,0,4.9,1.5,97,27,70,17,30,865,4,17,,1996-1997,
Vernon Maxwell,31,SAS,SG,72,31,2068,5,93,2,0,0,-7.8,2.7,57,19,62,11,74,331,10,35,,1996-1997,
Travis Best,24,IND,PG,76,46,2064,100,0,0,0,0,2.6,2.3,101,16,80,13,61,720,20,29,,1996-1997,
Johnny Newman,33,MIL,SF,82,4,2060,0,65,34,0,0,0.1,4.6,40,32,79,15,99,243,14,49,,1996-1997,
Armen Gilliam,32,MIL,PF,80,25,2050,0,0,0,87,13,-3.9,-3.7,18,25,101,16,107,115,17,23,,1996-1997,
Sam Mitchell,33,MIN,SF,82,5,2044,0,0,95,5,0,-4.6,-7.3,29,18,105,15,110,180,17,43,,1996-1997,
John Starks,31,NYK,SG,77,1,2042,8,86,7,0,0,6.2,4.2,78,24,78,19,58,455,15,35,6MOY-1,1996-1997,
Charles Barkley,33,HOU,PF,53,53,2009,0,0,22,78,0,8.4,7.2,74,24,57,15,178,586,46,47,"MVP-16,AS",1996-1997,
Derek Strong,28,ORL,PF,82,21,2004,0,0,17,80,3,-1.5,-0.4,35,16,102,13,94,166,17,61,,1996-1997,
LaPhonso Ellis,26,DEN,PF,55,49,2002,0,0,39,47,15,-5.6,3.9,37,35,84,18,122,314,33,72,,1996-1997,
Terry Mills,29,DET,PF,79,5,1997,0,0,0,71,28,12.1,10.0,46,3,81,15,28,231,7,10,6MOY-4,1996-1997,
Billy Owens,27,SAC,SF,66,56,1995,0,2,92,6,0,-3.9,1.1,57,30,82,14,64,404,15,45,,1996-1997,
Corliss Williamson,23,SAC,SF,79,31,1992,0,0,52,47,1,-4.7,-0.5,72,29,112,24,111,266,29,56,,1996-1997,
Sam Perkins,35,SEA,C,81,4,1976,0,0,0,7,93,11.0,2.9,33,22,69,4,101,243,20,23,6MOY-5,1996-1997,
Kevin Willis,34,HOU,PF,75,32,1964,0,0,0,58,42,1.2,-7.1,27,26,56,21,94,178,25,46,,1996-1997,
Jason Kidd,23,2TM,PG,55,45,1964,39,60,1,0,0,2.7,7.2,92,16,52,8,59,1124,6,30,,1996-1997,
Jason Kidd,23,DAL,PG,22,22,791,71,29,0,0,0,-5.2,2.7,44,6,15,3,23,441,1,12,,1996-1997,
Jason Kidd,23,PHO,PG,33,23,1173,18,81,1,0,0,8.0,10.3,48,10,37,5,36,683,5,18,,1996-1997,
Tony Massenburg,29,NJN,PF,79,49,1954,0,0,1,91,9,-4.0,-1.5,23,23,118,14,102,57,26,49,,1996-1997,
Lee Mayberry,26,VAN,PG,80,38,1952,94,6,0,0,0,-10.4,0.0,69,8,55,2,8,729,2,11,,1996-1997,
Dennis Rodman,35,CHI,PF,55,54,1947,0,0,0,78,22,15.4,7.3,56,12,58,10,24,367,5,6,,1996-1997,
Dominique Wilkins,37,SAS,SF,63,26,1945,0,3,54,42,1,-11.0,-4.0,60,20,30,16,146,255,31,72,6MOY-7,1996-1997,
Shaquille O'Neal,24,LAL,C,51,51,1941,0,0,0,0,100,6.5,4.8,68,12,110,21,215,370,66,30,"MVP-9,AS,NBA3",1996-1997,
Lorenzen Wright,21,LAC,C,77,51,1936,0,0,0,1,99,-3.6,-0.9,31,23,119,10,67,114,12,44,,1996-1997,
Doug West,29,MIN,SG,68,66,1920,0,92,8,0,0,-3.6,-4.9,30,13,110,11,38,235,9,25,,1996-1997,
Gary Trent,22,POR,PF,82,28,1918,0,0,17,80,3,2.1,-5.1,35,23,102,15,106,197,26,56,,1996-1997,
Will Perdue,31,SAS,C,65,34,1918,0,0,0,4,97,-5.9,6.1,51,8,98,5,77,84,21,30,,1996-1997,
Marcus Camby,22,TOR,C,63,38,1897,0,0,1,47,52,-0.7,5.2,49,21,119,15,121,216,32,49,,1996-1997,
Rasheed Wallace,22,POR,PF,62,56,1892,0,0,0,89,11,9.4,8.9,31,36,110,11,113,172,25,29,,1996-1997,
Isaac Austin,27,MIA,C,82,17,1881,0,0,0,0,100,3.1,-6.1,49,38,101,27,108,243,15,49,"MIP-1,6MOY-7",1996-1997,
Muggsy Bogues,32,CHH,PG,65,65,1880,100,0,0,0,0,7.1,6.6,69,16,37,1,9,1040,1,19,,1996-1997,
Mark Price,32,GSW,PG,70,49,1876,100,0,0,0,0,-4.1,4.4,111,34,24,5,31,732,5,14,,1996-1997,
Brian Shaw,30,ORL,PG,77,31,1867,82,18,0,0,0,-10.3,-17.0,120,23,100,4,45,705,9,31,,1996-1997,
Greg Anthony,29,VAN,PG,65,44,1863,100,0,0,0,0,-8.9,2.8,91,26,36,5,58,865,11,29,,1996-1997,
Steve Kerr,31,CHI,PG,82,0,1861,100,0,0,0,0,9.3,-4.4,33,3,46,3,19,388,4,9,,1996-1997,
Gheorghe Mureșan,25,WSB,C,73,69,1849,0,0,0,0,100,8.3,10.0,24,22,115,26,94,65,27,28,,1996-1997,
Roy Rogers,23,VAN,PF,82,50,1848,0,0,0,66,34,-13.6,-6.1,41,9,130,10,45,103,10,22,,1996-1997,
Chris Dudley,31,POR,C,81,14,1840,0,0,0,7,93,0.6,-7.5,19,14,133,9,48,96,9,18,,1996-1997,
Carl Herrera,30,SAS,PF,75,58,1837,0,0,6,88,6,-8.4,1.1,48,11,101,19,48,106,10,50,,1996-1997,
Rex Chapman,29,PHO,SG,65,33,1833,3,64,32,0,0,2.5,3.2,62,18,51,5,53,390,6,19,,1996-1997,
Eric Montross,25,2TM,C,78,77,1828,0,0,0,0,100,-5.5,-0.1,31,8,140,19,30,146,8,31,,1996-1997,
Eric Montross,25,DAL,C,47,46,984,0,0,0,0,100,-10.1,-3.6,23,2,78,13,18,75,4,17,,1996-1997,
Eric Montross,25,NJN,C,31,31,844,0,0,0,0,100,-0.1,4.1,8,6,62,6,12,71,4,14,,1996-1997,
Darrick Martin,25,LAC,PG,82,64,1820,100,0,0,0,0,-4.5,-2.5,72,20,48,9,85,728,12,48,,1996-1997,
Greg Ostertag,23,UTA,C,77,70,1818,0,0,0,0,100,15.3,16.0,18,16,144,7,97,63,19,42,,1996-1997,
Tracy Murray,25,WSB,SF,82,1,1814,0,9,90,1,0,2.4,-0.8,44,20,76,5,68,168,11,25,,1996-1997,
Sasha Danilović,26,2TM,SG,56,42,1789,0,81,19,0,0,1.6,-2.0,55,23,66,9,56,233,12,32,,1996-1997,
Sasha Danilović,26,MIA,SG,43,33,1351,0,79,21,0,0,4.6,-2.5,46,17,50,8,32,176,10,21,,1996-1997,
Sasha Danilović,26,DAL,SG,13,9,438,0,86,14,0,0,-7.9,-0.7,9,6,16,1,24,57,2,11,,1996-1997,
Bryant Stith,26,DEN,SG,52,52,1788,0,96,4,0,0,-6.2,2.5,36,23,47,14,86,294,18,54,,1996-1997,
Robert Pack,27,2TM,PG,54,42,1782,100,0,0,0,0,-7.7,-4.2,121,36,39,13,87,991,20,64,,1996-1997,
Robert Pack,27,NJN,PG,34,31,1185,100,0,0,0,0,-6.2,-4.2,73,28,22,9,57,707,15,44,,1996-1997,
Robert Pack,27,DAL,PG,20,11,597,100,0,0,0,0,-10.8,-4.1,48,8,17,4,30,284,5,20,,1996-1997,
Keith Askins,29,MIA,SF,78,30,1773,0,4,92,4,0,5.8,-0.9,28,7,91,8,16,167,9,11,,1996-1997,
Jerome Kersey,34,LAL,SF,70,44,1766,0,0,84,16,0,3.7,-0.4,42,12,113,4,45,203,10,19,,1996-1997,
Charlie Ward,26,NYK,PG,79,21,1763,99,1,0,0,0,3.3,-1.6,100,22,80,5,33,725,11,15,,1996-1997,
Arvydas Sabonis,32,POR,C,69,68,1762,0,0,0,0,100,9.1,8.0,82,24,99,16,118,334,26,34,,1996-1997,
Tom Hammonds,29,DEN,PF,81,8,1758,0,0,32,63,4,-7.0,0.9,28,19,105,18,81,158,16,39,,1996-1997,
Ron Harper,33,CHI,PG,76,74,1740,76,23,1,0,0,13.8,3.8,26,5,54,6,33,421,9,10,,1996-1997,
Sam Cassell,27,3TM,PG,61,44,1714,98,2,0,0,0,-1.4,2.0,98,22,49,23,85,663,15,44,,1996-1997,
Sam Cassell,27,PHO,PG,22,9,539,94,7,0,0,0,-2.1,-3.4,29,11,15,9,37,210,7,18,,1996-1997,
Sam Cassell,27,DAL,PG,16,13,398,100,0,0,0,0,-6.2,1.3,27,3,13,6,18,125,0,9,,1996-1997,
Sam Cassell,27,NJN,PG,23,22,777,100,0,0,0,0,1.6,6.0,42,8,21,8,30,328,8,17,,1996-1997,
Mark Davis,23,PHI,SF,75,17,1705,0,2,89,9,0,-8.1,-0.9,56,28,100,14,69,292,15,38,6MOY-7,1996-1997,
Dean Garrett,30,MIN,C,68,47,1665,0,0,0,0,100,1.0,3.6,10,12,91,3,70,82,18,33,,1996-1997,
Greg Anderson,32,SAS,C,82,48,1659,0,0,0,9,92,-14.5,-9.4,23,18,134,10,45,68,13,34,,1996-1997,
Aaron McKie,24,2TM,SG,83,11,1625,18,71,11,0,0,5.9,0.1,46,15,64,14,40,360,7,36,,1996-1997,
Aaron McKie,24,POR,SG,41,8,775,24,76,0,0,0,0.1,-5.7,21,12,26,7,15,188,4,14,,1996-1997,
Aaron McKie,24,DET,SG,42,3,850,12,68,21,0,0,11.2,5.3,25,3,38,7,25,172,3,22,,1996-1997,
Marty Conlon,29,BOS,C,74,15,1614,0,0,1,37,62,-8.8,-1.1,53,13,60,10,73,229,15,40,,1996-1997,
Toni Kukoč,28,CHI,SF,57,15,1610,0,0,32,67,2,14.2,4.4,64,13,45,3,74,552,21,21,6MOY-2,1996-1997,
Harvey Grant,31,WSB,PF,78,25,1604,0,0,9,84,7,3.2,0.6,15,4,97,2,14,153,1,6,,1996-1997,
Elliot Perry,27,MIL,PG,82,3,1595,100,0,0,0,0,-1.3,1.4,67,25,28,2,23,527,5,19,,1996-1997,
Terry Porter,33,MIN,PG,82,20,1568,50,50,1,0,0,2.4,5.7,92,15,41,6,56,611,9,15,,1996-1997,
Felton Spencer,29,2TM,C,73,65,1558,0,0,0,0,100,-1.3,8.2,18,21,154,22,78,50,17,36,,1996-1997,
Felton Spencer,29,ORL,C,1,1,19,0,0,0,0,100,2.9,4.2,0,0,1,0,0,2,0,0,,1996-1997,
Felton Spencer,29,GSW,C,72,64,1539,0,0,0,0,100,-1.3,8.2,18,21,153,22,78,48,17,36,,1996-1997,
